"species";"Region";"LifeForm";"off_FirstRec";"count";"firstRec";"phylum";"class";"timeLag";"eu_status";"scopus";"EASIN_Id";"Status";"TER";"FRW";"MAR";"EST";"habitat";"worst_100_world_ISSG";"worst_100_Europe_DAISIE";"mentioned_in_EU_quarantine_species";"partly_native";"obsEffort_LF";"ResearchEffort";"nOccTotSp";"obsInNeigborCountryBefore";"google_sum";"google_mean";"google_country_porc";"google_country"
"Albizia julibrissin";"Ukraine";"Vascular plants";NA;189;2002;"Tracheophyta";"Magnoliopsida";NA;"NO";1209;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";146355;7;NA;NA;NA;NA;NA;NA
"Albizia julibrissin";"United Kingdom";"Vascular plants";NA;2;2020;"Tracheophyta";"Magnoliopsida";NA;"NO";1209;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";729813;102;NA;NA;NA;NA;NA;NA
"Alcea rosea";"Albania";"Vascular plants";2011;14;2017;"Tracheophyta";"Magnoliopsida";6;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2476;54;NA;TRUE;1665;11.5625;0;0
"Alcea rosea";"Andorra";"Vascular plants";NA;1;2019;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";779;1;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Austria";"Vascular plants";NA;676;2015;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";405467;44;NA;NA;1665;11.5625;35;404.6875
"Alcea rosea";"Belarus";"Vascular plants";NA;69;2013;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;NA;FALSE;1665;11.5625;0;0
"Alcea rosea";"Belgium";"Vascular plants";NA;805;1993;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1132699;480;NA;NA;1665;11.5625;100;1156.25
"Alcea rosea";"Bosnia and Herzegovina";"Vascular plants";NA;26;2015;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";9027;14;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Bulgaria";"Vascular plants";NA;66;2016;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";14218;8;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Croatia";"Vascular plants";NA;83;2011;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";40792;19;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Cyprus";"Vascular plants";2013;NA;NA;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;107;NA;FALSE;1665;11.5625;0;0
"Alcea rosea";"Czech Republic";"Vascular plants";NA;917;1995;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";391053;28;NA;NA;1665;11.5625;72;832.5
"Alcea rosea";"Denmark";"Vascular plants";NA;50;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";63407;18;NA;NA;1665;11.5625;38;439.375
"Alcea rosea";"Finland";"Vascular plants";NA;2;2020;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";81315;2;NA;NA;1665;11.5625;28;323.75
"Alcea rosea";"France";"Vascular plants";NA;13748;2005;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";3156527;142;NA;NA;1665;11.5625;24;277.5
"Alcea rosea";"Germany";"Vascular plants";NA;7147;2004;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;51;NA;NA;1665;11.5625;42;485.625
"Alcea rosea";"Greece";"Vascular plants";NA;147;2010;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";46853;144;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Hungary";"Vascular plants";NA;67;2015;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";36958;18;NA;NA;1665;11.5625;37;427.8125
"Alcea rosea";"Ireland";"Vascular plants";NA;2;2019;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";26889;13;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Italy";"Vascular plants";NA;2296;2014;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";967299;162;NA;NA;1665;11.5625;27;312.1875
"Alcea rosea";"Latvia";"Vascular plants";NA;2;2020;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";6060;6;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Liechtenstein";"Vascular plants";NA;2;2020;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2000;1;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Lithuania";"Vascular plants";NA;3;2021;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";40458;3;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Luxembourg";"Vascular plants";NA;12;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";37577;1;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Montenegro";"Vascular plants";NA;12;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";5319;2;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Netherlands";"Vascular plants";NA;1332;2001;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4472543;30;NA;NA;1665;11.5625;64;740
"Alcea rosea";"Norway";"Vascular plants";NA;24;2013;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1755502;76;NA;NA;1665;11.5625;42;485.625
"Alcea rosea";"Poland";"Vascular plants";NA;39;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";147169;17;NA;NA;1665;11.5625;24;277.5
"Alcea rosea";"Portugal";"Vascular plants";NA;94;2009;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";107614;83;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Republic of Moldova";"Vascular plants";NA;12;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;NA;FALSE;1665;11.5625;NA;NA
"Alcea rosea";"Romania";"Vascular plants";NA;132;2015;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";31057;3;NA;NA;1665;11.5625;0;0
"Alcea rosea";"San Marino";"Vascular plants";NA;2;2019;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;NA;FALSE;1665;11.5625;0;0
"Alcea rosea";"Sea or Ocean";"Vascular plants";NA;3156;1990;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;NA;FALSE;1665;11.5625;NA;NA
"Alcea rosea";"Serbia";"Vascular plants";NA;53;2015;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";14179;54;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Slovakia";"Vascular plants";NA;152;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";84761;19;NA;NA;1665;11.5625;55;635.9375
"Alcea rosea";"Slovenia";"Vascular plants";NA;20;2016;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";38312;45;NA;NA;1665;11.5625;0;0
"Alcea rosea";"Spain";"Vascular plants";NA;1367;2011;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";713438;120;NA;NA;1665;11.5625;14;161.875
"Alcea rosea";"Sweden";"Vascular plants";NA;1232;1990;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";7997425;26;NA;NA;1665;11.5625;58;670.625
"Alcea rosea";"Switzerland";"Vascular plants";NA;1297;2011;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";453426;13;NA;NA;1665;11.5625;42;485.625
"Alcea rosea";"The former Yugoslav Republic of Macedonia";"Vascular plants";NA;3;2018;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;NA;FALSE;1665;11.5625;NA;NA
"Alcea rosea";"Ukraine";"Vascular plants";NA;309;2006;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";146355;7;NA;NA;1665;11.5625;0;0
"Alcea rosea";"United Kingdom";"Vascular plants";NA;1983;2001;"Tracheophyta";"Magnoliopsida";NA;"NO";358;"R00486";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";729813;102;NA;NA;1665;11.5625;30;346.875
"Alcea rugosa";"Belgium";"Vascular plants";2010;4;2010;"Tracheophyta";"Magnoliopsida";0;"NO";15;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1132699;480;666;FALSE;107;0.743055555555556;0;0
"Alcea rugosa";"Czech Republic";"Vascular plants";NA;2;2020;"Tracheophyta";"Magnoliopsida";NA;"NO";15;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";391053;28;666;NA;107;0.743055555555556;0;0
"Alcea rugosa";"Germany";"Vascular plants";NA;8;2011;"Tracheophyta";"Magnoliopsida";NA;"NO";15;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";2829627;51;666;NA;107;0.743055555555556;0;0
"Alcea rugosa";"Sea or Ocean";"Vascular plants";NA;330;2003;"Tracheophyta";"Magnoliopsida";NA;"NO";15;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;666;FALSE;107;0.743055555555556;NA;NA
"Alcea rugosa";"Sweden";"Vascular plants";NA;60;2005;"Tracheophyta";"Magnoliopsida";NA;"NO";15;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";7997425;26;666;FALSE;107;0.743055555555556;0;0
"Alcea rugosa";"Ukraine";"Vascular plants";NA;262;2004;"Tracheophyta";"Magnoliopsida";NA;"NO";15;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";146355;7;666;FALSE;107;0.743055555555556;0;0
"Alectoris chukar";"Belgium";"Birds";2010;5;2010;"Chordata";"Aves";0;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";788948;480;2464;TRUE;146;1.01388888888889;0;0
"Alectoris chukar";"Bulgaria";"Birds";NA;131;1991;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";249237;8;2464;NA;146;1.01388888888889;0;0
"Alectoris chukar";"Denmark";"Birds";NA;11;2014;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";14701881;18;2464;NA;146;1.01388888888889;0;0
"Alectoris chukar";"France";"Birds";NA;4;1997;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1858205;142;2464;NA;146;1.01388888888889;0;0
"Alectoris chukar";"Germany";"Birds";NA;1;2018;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";7836388;51;2464;NA;146;1.01388888888889;0;0
"Alectoris chukar";"Greece";"Birds";NA;612;1991;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";452825;144;2464;NA;146;1.01388888888889;0;0
"Alectoris chukar";"Italy";"Birds";NA;5;2017;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";590026;162;2464;NA;146;1.01388888888889;0;0
"Alectoris chukar";"Netherlands";"Birds";NA;1;2008;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";2058938;30;2464;NA;146;1.01388888888889;0;0
"Alectoris chukar";"Norway";"Birds";NA;9;1994;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";12396174;76;2464;NA;146;1.01388888888889;0;0
"Alectoris chukar";"Sea or Ocean";"Birds";NA;1610;1990;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;2464;FALSE;146;1.01388888888889;NA;NA
"Alectoris chukar";"Sweden";"Birds";NA;67;2002;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";38556181;26;2464;NA;146;1.01388888888889;0;0
"Alectoris chukar";"Ukraine";"Birds";NA;6;1992;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";287041;7;2464;FALSE;146;1.01388888888889;0;0
"Alectoris chukar";"United Kingdom";"Birds";NA;2;2021;"Chordata";"Aves";NA;"NO";1060;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";9941295;102;2464;FALSE;146;1.01388888888889;0;0
"Aleurocanthus spiniferus";"Croatia";"Insects";2012;NA;NA;"Arthropoda";"Insecta";NA;"NO";134;"R17959";"A";1;0;0;0;"Terrestrial";"NO";"NO";"YES";"NO";13442;19;NA;FALSE;NA;NA;NA;NA
"Aleurocanthus spiniferus";"Greece";"Insects";2016;NA;NA;"Arthropoda";"Insecta";NA;"NO";134;"R17959";"A";1;0;0;0;"Terrestrial";"NO";"NO";"YES";"NO";41715;144;NA;FALSE;NA;NA;NA;NA
"Aleurocanthus spiniferus";"Italy";"Insects";NA;17;2018;"Arthropoda";"Insecta";NA;"NO";134;"R17959";"A";1;0;0;0;"Terrestrial";"NO";"NO";"YES";"NO";205611;162;NA;NA;NA;NA;NA;NA
"Aleurocanthus spiniferus";"Montenegro";"Insects";2013;NA;NA;"Arthropoda";"Insecta";NA;"NO";134;"R17959";"A";1;0;0;0;"Terrestrial";"NO";"NO";"YES";"NO";2725;2;NA;TRUE;NA;NA;NA;NA
"Aleuroclava aucubae";"France";"Insects";2013;NA;NA;"Arthropoda";"Insecta";NA;"NO";7;"R17975";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";514135;142;NA;FALSE;NA;NA;NA;NA
"Aleuroclava aucubae";"Slovenia";"Insects";2011;NA;NA;"Arthropoda";"Insecta";NA;"NO";7;"R17975";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";20810;45;NA;FALSE;NA;NA;NA;NA
"Aleurolobus marlatti";"Cyprus";"Insects";2017;NA;NA;"Arthropoda";"Insecta";NA;"NO";4;"R00533";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;107;NA;FALSE;NA;NA;NA;NA
"Aleurolobus marlatti";"Italy";"Insects";2013;NA;NA;"Arthropoda";"Insecta";NA;"NO";4;"R00533";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";205611;162;NA;FALSE;NA;NA;NA;NA
"Alisma subcordatum";"Slovakia";"Vascular plants";2017;NA;NA;"Tracheophyta";"Liliopsida";NA;"NO";6;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";84761;19;NA;FALSE;NA;NA;NA;NA
"Alisma subcordatum";"United Kingdom";"Vascular plants";NA;2;2008;"Tracheophyta";"Liliopsida";NA;"NO";6;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";729813;102;NA;FALSE;NA;NA;NA;NA
"Allium ampeloprasum";"Austria";"Vascular plants";NA;2;2015;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";405467;44;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Belarus";"Vascular plants";NA;1;2018;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;2142;FALSE;NA;NA;NA;NA
"Allium ampeloprasum";"Belgium";"Vascular plants";NA;12;2014;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";1132699;480;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Bosnia and Herzegovina";"Vascular plants";NA;3;2019;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";9027;14;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Croatia";"Vascular plants";NA;10;2018;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";40792;19;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Czech Republic";"Vascular plants";NA;16;2017;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";391053;28;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"France";"Vascular plants";NA;708;2007;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";3156527;142;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Germany";"Vascular plants";NA;15;2013;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";2829627;51;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Greece";"Vascular plants";NA;63;2008;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";46853;144;2142;FALSE;NA;NA;NA;NA
"Allium ampeloprasum";"Hungary";"Vascular plants";NA;1;2019;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";36958;18;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Ireland";"Vascular plants";NA;6;2018;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";26889;13;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Italy";"Vascular plants";NA;263;2009;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";967299;162;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Netherlands";"Vascular plants";NA;16;2007;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";4472543;30;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Poland";"Vascular plants";NA;1;2019;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";147169;17;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Portugal";"Vascular plants";NA;93;2011;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";107614;83;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Romania";"Vascular plants";NA;1;2019;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";31057;3;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Sea or Ocean";"Vascular plants";NA;338;1992;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";0;NA;2142;FALSE;NA;NA;NA;NA
"Allium ampeloprasum";"Serbia";"Vascular plants";NA;1;2019;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";14179;54;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Slovakia";"Vascular plants";NA;3;2018;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";84761;19;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Slovenia";"Vascular plants";NA;1;2019;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";38312;45;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Spain";"Vascular plants";NA;457;2005;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";713438;120;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"Sweden";"Vascular plants";NA;22;1992;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";7997425;26;2142;FALSE;NA;NA;NA;NA
"Allium ampeloprasum";"Ukraine";"Vascular plants";NA;4;2018;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";146355;7;2142;NA;NA;NA;NA;NA
"Allium ampeloprasum";"United Kingdom";"Vascular plants";NA;105;2008;"Tracheophyta";"Liliopsida";NA;"NO";1524;NA;NA;1;0;0;0;"Terrestrial";"NO";"NO";"NO";"YES";729813;102;2142;NA;NA;NA;NA;NA
"Allium cepa";"Austria";"Vascular plants";NA;4;2020;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";405467;44;595;NA;10133;70.3680555555556;34;2392.51388888889
"Allium cepa";"Belarus";"Vascular plants";NA;4;2014;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;595;FALSE;10133;70.3680555555556;0;0
"Allium cepa";"Belgium";"Vascular plants";2011;30;2006;"Tracheophyta";"Liliopsida";-5;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1132699;480;595;TRUE;10133;70.3680555555556;19;1336.99305555556
"Allium cepa";"Bosnia and Herzegovina";"Vascular plants";NA;1;2020;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";9027;14;595;NA;10133;70.3680555555556;0;0
"Allium cepa";"Croatia";"Vascular plants";NA;2;2019;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";40792;19;595;NA;10133;70.3680555555556;0;0
"Allium cepa";"Czech Republic";"Vascular plants";NA;17;2018;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";391053;28;595;NA;10133;70.3680555555556;27;1899.9375
"Allium cepa";"Denmark";"Vascular plants";NA;1;2020;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";63407;18;595;NA;10133;70.3680555555556;0;0
"Allium cepa";"France";"Vascular plants";NA;108;2016;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";3156527;142;595;NA;10133;70.3680555555556;100;7036.80555555556
"Allium cepa";"Germany";"Vascular plants";NA;53;1990;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";2829627;51;595;NA;10133;70.3680555555556;23;1618.46527777778
"Allium cepa";"Greece";"Vascular plants";NA;4;2018;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";46853;144;595;FALSE;10133;70.3680555555556;0;0
"Allium cepa";"Italy";"Vascular plants";NA;39;2018;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";967299;162;595;NA;10133;70.3680555555556;15;1055.52083333333
"Allium cepa";"Latvia";"Vascular plants";NA;2;2021;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";6060;6;595;FALSE;10133;70.3680555555556;0;0
"Allium cepa";"Netherlands";"Vascular plants";NA;24;2007;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";4472543;30;595;NA;10133;70.3680555555556;6;422.208333333334
"Allium cepa";"Norway";"Vascular plants";NA;2;2016;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";1755502;76;595;NA;10133;70.3680555555556;0;0
"Allium cepa";"Poland";"Vascular plants";NA;2;2012;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";147169;17;595;NA;10133;70.3680555555556;8;562.944444444445
"Allium cepa";"Portugal";"Vascular plants";NA;3;2020;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";107614;83;595;NA;10133;70.3680555555556;0;0
"Allium cepa";"Sea or Ocean";"Vascular plants";NA;144;1990;"Tracheophyta";"Liliopsida";NA;"NO";37724;"R00565";"A";1;0;0;0;"Terrestrial";"NO";"NO";"NO";"NO";0;NA;595;FALSE;10133;70.3680555555556;NA;NA
