"SeebName";"species";"phylum";"class";"kingdom";"LifeForm"
"Serapias lingua";"Serapias lingua";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Sesamum indicum";"Sesamum indicum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Sibbaldiopsis tridentata";"Sibbaldia tridentata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Sinacalia tangutica";"Sinacalia tangutica";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Sisyrinchium californicum";"Sisyrinchium californicum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Sisyrinchium striatum";"Sisyrinchium striatum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Skimmia japonica";"Skimmia japonica";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Smyrnium olusastrum";"Smyrnium olusatrum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Solanum pimpinellifolium";"Solanum pimpinellifolium";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Solanum pseudocapsicum";"Solanum pseudocapsicum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Solidago altissima";"Solidago altissima";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Sorbaria kirilowii";"Sorbaria kirilowii";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Spergula bocconei";"Spergularia bocconei";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Spiraea nipponica";"Spiraea nipponica";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Spiranthes cernua (L.) Richard";"Spiranthes cernua";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Spirobassia hirsuta";"Spirobassia hirsuta";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Stachys macrantha";"Betonica macrantha";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Stellaria media subsp. cupaniana";"Stellaria cupaniana";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Symphoricarpos doorenbosii";"Symphoricarpos doorenbosii";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Symphoricarpos orbiculatus";"Symphoricarpos orbiculatus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Teloxys aristata";"Teloxys aristata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Teucrium hircanicum";"Teucrium hircanicum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Teucrium x lucidris";"Teucrium lucidrys";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Thalia dealbata";"Thalia dealbata";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Thalictrum speciosissimum";"Thalictrum speciosissimum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Thladiantha dubia";"Thladiantha dubia";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Tiarella cordifolia";"Tiarella cordifolia";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Tilia tomentosa";"Tilia tomentosa";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Tithonia rotundifolia";"Tithonia rotundifolia";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Tolmiea menziesii";"Tolmiea menziesii";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Trachycarpus fortunei";"Trachycarpus fortunei";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Tragopogon mirabilis";"Tragopogon mirabilis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Trifolium michelianum";"Trifolium michelianum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Trifolium nigrescens";"Trifolium nigrescens";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Trifolium suffocatum";"Trifolium suffocatum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Trifolium sylvaticum";"Trifolium sylvaticum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Tripleurospermum decipiens";"Tripleurospermum decipiens";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Tristagma uniflorum";"Ipheion uniflorum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Tulipa tarda";"Tulipa urumiensis";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Typha laxmannii";"Typha laxmannii";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Typha x provincialis";"Typha provincialis";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Typhonium venosum";"Sauromatum venosum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Urtica membranacea";"Urtica membranacea";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Vallisneria americana";"Vallisneria americana";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Verbascum x angulosum";"Verbascum angulosum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Verbascum x brockmuelleri";"Verbascum brockmuelleri";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Verbena bracteata";"Verbena bracteata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Vernonia fasciculata";"Vernonia fasciculata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Veronica austriaca";"Veronica austriaca";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Veronica cymbalaria";"Veronica cymbalaria";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Veronica teucrium";"Veronica teucrium";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Veronicastrum virginicum";"Veronicastrum virginicum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Viburnum tinus";"Viburnum tinus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Viburnum davidii";"Viburnum davidi";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Viburnum x rhytidophylloides";"Viburnum rhytidophylloides";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Vicia cuspidata";"Vicia cuspidata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Wolffia columbiana";"Wolffia columbiana";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Xanthocyparis nootkatensis";"Xanthocyparis nootkatensis";"Tracheophyta";"Pinopsida";"Plantae";"Vascular plants"
"Zantedeschia albomaculata";"Zantedeschia albomaculata";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Zelkova serrata";"Zelkova serrata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Zingeria pisidica";"Colpodium pisidicum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Zinnia elegans";"Zinnia elegans";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Zinnia violacea";"Zinnia elegans";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Zizania latifolia";"Zizania latifolia";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Ziziphus lotus";"Ziziphus lotus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Zuloagaea bulbosa";"Zuloagaea bulbosa";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Impatiens parviflora";"Impatiens parviflora";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Potentilla indica";"Potentilla indica";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Euphorbia prostrata";"Euphorbia prostrata";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Symphyotrichum subulatum var. squamatum";"Symphyotrichum squamatum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Opuntia vulgaris";"Opuntia vulgaris";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Glyceria striata";"Glyceria striata";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Panicum riparium";"Panicum capillare";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Paspalum dilatatum";"Paspalum dilatatum";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Sporobolus vaginiflorus";"Sporobolus vaginiflorus";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Chaetoceros aequatorialis";"Chaetoceros aequatorialis";"Ochrophyta";"Bacillariophyceae";"Chromista";NA
"Vaucheria dichotoma";"Vaucheria dichotoma";"Ochrophyta";"Xanthophyceae";"Chromista";NA
"Bruchidius terrenus";"Bruchidius terrenus";"Arthropoda";"Insecta";"Animalia";"Insects"
"Bolinopsis vitrea";"Bolinopsis vitrea";"Ctenophora";"Tentaculata";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Glycaspis brimblecombei";"Glycaspis brimblecombei";"Arthropoda";"Insecta";"Animalia";"Insects"
"Neotoxoptera formosana";"Neotoxoptera formosana";"Arthropoda";"Insecta";"Animalia";"Insects"
"Pluchea carolinensis";"Pluchea carolinensis";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Aleuroclava aucubae";"Aleuroclava aucubae";"Arthropoda";"Insecta";"Animalia";"Insects"
"Anoplophora glabripennis";"Anoplophora glabripennis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Scyphophorus acupunctatus";"Scyphophorus acupunctatus";"Arthropoda";"Insecta";"Animalia";"Insects"
"Torymus sinensis";"Torymus sinensis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Ceroplastes floridensis";"Ceroplastes floridensis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Pseudococcus longispinus";"Pseudococcus longispinus";"Arthropoda";"Insecta";"Animalia";"Insects"
"Ludwigia peploides";"Ludwigia peploides";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Amaranthus tuberculatus";"Amaranthus tuberculatus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Phytolacca acinosa";"Phytolacca acinosa";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Egeria densa";"Elodea densa";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Muhlenbergia schreberi";"Muhlenbergia schreberi";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Nassella neesiana";"Nassella neesiana";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Parvocalanus crassirostris";"Parvocalanus crassirostris";"Arthropoda";"Copepoda";"Animalia";NA
"Paranthias furcifer";"Paranthias furcifer";"Chordata";NA;"Animalia";NA
"Aleurocanthus spiniferus";"Aleurocanthus spiniferus";"Arthropoda";"Insecta";"Animalia";"Insects"
"Acanthurus coeruleus";"Acanthurus coeruleus";"Chordata";NA;"Animalia";NA
"Maconellicoccus hirsutus";"Maconellicoccus hirsutus";"Arthropoda";"Insecta";"Animalia";"Insects"
"Paraleyrodes minei";"Paraleyrodes minei";"Arthropoda";"Insecta";"Animalia";"Insects"
"Phenacoccus solenopsis";"Phenacoccus solenopsis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Singhiella simplex";"Singhiella simplex";"Arthropoda";"Insecta";"Animalia";"Insects"
"Nematus lipovskyi";"Euura lipovskyi";"Arthropoda";"Insecta";"Animalia";"Insects"
"Rhagoletis cingulata";"Rhagoletis cingulata";"Arthropoda";"Insecta";"Animalia";"Insects"
"Hygromia cinctella";"Hygromia cinctella";"Mollusca";"Gastropoda";"Animalia";"Molluscs"
"Berberis julianae";"Berberis julianae";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Berberis thunbergii";"Berberis thunbergii";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Buddleja alternifolia";"Buddleja alternifolia";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster dielsianus";"Cotoneaster dielsianus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cotoneaster divaricatus";"Cotoneaster divaricatus";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Cystopteris bulbifera";"Cystopteris bulbifera";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Pimpinella peregrina";"Pimpinella peregrina";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Sarracenia purpurea";"Sarracenia purpurea";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Sasa palmata";"Sasa palmata";"Tracheophyta";"Liliopsida";"Plantae";"Vascular plants"
"Thuja occidentalis";"Thuja occidentalis";"Tracheophyta";"Pinopsida";"Plantae";"Vascular plants"
"Vaccinium corymbosum";"Vaccinium corymbosum";"Tracheophyta";"Magnoliopsida";"Plantae";"Vascular plants"
"Hermetia illucens";"Hermetia illucens";"Arthropoda";"Insecta";"Animalia";"Insects"
"Bonamia ostreae";"Bonamia ostreae";NA;"Haplosporea";"Protozoa";"Bacteria and protozoans"
"Hemigrapsus penicillatus";"Hemigrapsus penicillatus";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Hemigrapsus sanguineus";"Hemigrapsus sanguineus";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Hemigrapsus takanoi";"Hemigrapsus takanoi";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Acipenser stellatus";"Acipenser stellatus";"Chordata";NA;"Animalia";NA
"Huso huso";"Huso huso";"Chordata";NA;"Animalia";NA
"Anoplophora chinensis";"Anoplophora chinensis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Beroe ovata";"Beroe ovata";"Ctenophora";"Nuda";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Diadumene lineata";"Diadumene lineata";"Cnidaria";"Anthozoa";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Polydora aggregata";"Polydora aggregata";"Annelida";"Polychaeta";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Polydora cornuta";"Polydora cornuta";"Annelida";"Polychaeta";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Tharyx killariensis";"Tharyx killariensis";"Annelida";"Polychaeta";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Polystichum braunii";"Polystichum braunii";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Pacifastacus leniusculus";"Pacifastacus leniusculus";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Palaemon elegans";"Palaemon elegans";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Rhithropanopeus harrisii";"Rhithropanopeus harrisii";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Sinelobus vanhaareni";"Sinelobus vanhaareni";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Rangia cuneata";"Rangia cuneata";"Mollusca";"Bivalvia";"Animalia";"Molluscs"
"Equisetum variegatum";"Equisetum variegatum";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Maeotias marginata";"Maeotias marginata";"Cnidaria";"Hydrozoa";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Centroceras clavulatum";"Centroceras clavulatum";"Rhodophyta";"Florideophyceae";"Plantae";"Algae"
"Gracilaria chorda";"Gracilariopsis chorda";"Rhodophyta";"Florideophyceae";"Plantae";"Algae"
"Hildenbrandia occidentalis";"Hildenbrandia occidentalis";"Rhodophyta";"Florideophyceae";"Plantae";"Algae"
"Neosiphonia flavimarina";"Melanothamnus flavimarinus";"Rhodophyta";"Florideophyceae";"Plantae";"Algae"
"Ulva ohnoi";"Ulva ohnoi";"Chlorophyta";"Ulvophyceae";"Plantae";"Algae"
"Liberibacter solanacearum";"Liberibacter solanacearum";"Proteobacteria";"Alphaproteobacteria";"Bacteria";"Bacteria and protozoans"
"Amathia verticillata";"Amathia verticillata";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Ampithoe valida";"Ampithoe valida";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Aoroides longimerus";"Aoroides longimerus";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Caprella scaura";"Caprella scaura";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Grandidierella japonica";"Grandidierella japonica";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Guinearma alberti";"Guinearma alberti";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Ianiropsis serricaudis";"Ianiropsis serricaudis";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Neomysis americana";"Neomysis americana";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Paracerceis sculpta";"Paracerceis sculpta";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Penaeus aztecus";"Penaeus aztecus";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Penaeus semisulcatus";"Penaeus semisulcatus";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Percnon gibbesi";"Percnon gibbesi";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Ptilohyale littoralis";"Ptilohyale littoralis";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Sinelobus stanfordi";"Sinelobus stanfordi";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Stephos cryptospinosus";"Stephos cryptospinosus";"Arthropoda";"Copepoda";"Animalia";NA
"Synidotea laticauda";"Synidotea laticauda";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Fistularia petimba";"Fistularia petimba";"Chordata";NA;"Animalia";NA
"Holocentrus adscensionis";"Holocentrus adscensionis";"Chordata";NA;"Animalia";NA
"Siganus rivulatus";"Siganus rivulatus";"Chordata";NA;"Animalia";NA
"Batrachedra knabi";"Batrachedra knabi";"Arthropoda";"Insecta";"Animalia";"Insects"
"Blepharidopterus chlorionis";"Blepharidopterus chlorionis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Carpomya incompleta";"Carpomya incompleta";"Arthropoda";"Insecta";"Animalia";"Insects"
"Cyclorhipidion fukiense";"Cyclorhipidion fukiense";"Arthropoda";"Insecta";"Animalia";"Insects"
"Halyomorpha halys";"Halyomorpha halys";"Arthropoda";"Insecta";"Animalia";"Insects"
"Megabruchidius dorsalis";"Megabruchidius dorsalis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Platylomalus gardineri";"Platylomalus gardineri";"Arthropoda";"Insecta";"Animalia";"Insects"
"Xylosandrus crassiusculus";"Xylosandrus crassiusculus";"Arthropoda";"Insecta";"Animalia";"Insects"
"Xyloterinus politus";"Xyloterinus politus";"Arthropoda";"Insecta";"Animalia";"Insects"
"Bispira fabricii";"Bispira fabricii";"Annelida";"Polychaeta";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Euchone limnicola";"Euchone limnicola";"Annelida";"Polychaeta";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Oulastrea crispata";"Oulastrea crispata";"Cnidaria";"Anthozoa";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Chromodoris quadricolor";"Chromodoris quadricolor";"Mollusca";"Gastropoda";"Animalia";"Molluscs"
"Dreissena rostriformis";"Dreissena rostriformis";"Mollusca";"Bivalvia";"Animalia";"Molluscs"
"Stramonita haemastoma";"Stramonita haemastoma";"Mollusca";"Gastropoda";"Animalia";"Molluscs"
"Trinchesia genovae";"Trinchesia genovae";"Mollusca";"Gastropoda";"Animalia";"Molluscs"
"Xylella fastidiosa";"Xylella fastidiosa";"Proteobacteria";"Gammaproteobacteria";"Bacteria";"Bacteria and protozoans"
"Antithamnionella spirographidis";"Antithamnionella spirographidis";"Rhodophyta";"Florideophyceae";"Plantae";"Algae"
"Ceramium cimbricum";"Ceramium cimbricum";"Rhodophyta";"Florideophyceae";"Plantae";"Algae"
"Ceramium circinatum";"Ceramium circinatum";"Rhodophyta";"Florideophyceae";"Plantae";"Algae"
"Ulva gigantea";"Ulva gigantea";"Chlorophyta";"Ulvophyceae";"Plantae";"Algae"
"Umbraulva dangeardii";"Umbraulva dangeardii";"Chlorophyta";"Ulvophyceae";"Plantae";"Algae"
"Undaria pinnatifida";"Undaria pinnatifida";"Ochrophyta";"Phaeophyceae";"Chromista";NA
"Arachnidium lacourti";"Arachnidium lacourti";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Bugula neritina";"Bugula neritina";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Fenestrulina delicia";"Fenestrulina delicia";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Pacificincola perforata";"Pacificincola perforata";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Pectinatella magnifica";"Pectinatella magnifica";"Bryozoa";"Phylactolaemata";"Animalia";"Bryozoa"
"Schizobrachiella verrilli";"Schizobrachiella verrilli";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Schizoporella japonica";"Schizoporella japonica";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Smittoidea prolifica";"Smittoidea prolifica";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Watersipora subtorquata";"Watersipora subtorquata";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Eurytemora carolleeae";"Eurytemora carolleeae";"Arthropoda";"Copepoda";"Animalia";NA
"Evadne anonyx";"Evadne anonyx";"Arthropoda";"Branchiopoda";"Animalia";"Crustaceans"
"Homarus americanus";"Homarus americanus";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Macrobrachium dayanum";"Macrobrachium dayanum";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Melita nitida";"Melita nitida";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Monocorophium uenoi";"Monocorophium uenoi";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Neocaridina davidi";"Neocaridina davidi";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Nippoleucon hinumensis";"Nippoleucon hinumensis";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Paramysis lacustris";"Paramysis lacustris";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Skistodiaptomus pallidus";"Skistodiaptomus pallidus";"Arthropoda";"Copepoda";"Animalia";NA
"Aromia bungii";"Aromia bungii";"Arthropoda";"Insecta";"Animalia";"Insects"
"Cyclorhipidion pelliculosum";"Cyclorhipidion pelliculosum";"Arthropoda";"Insecta";"Animalia";"Insects"
"Psacothea hilaris";"Psacothea hilaris";"Arthropoda";"Insecta";"Animalia";"Insects"
"Pseudococcus viburni";"Pseudococcus viburni";"Arthropoda";"Insecta";"Animalia";"Insects"
"Rhagoletis suavis";"Rhagoletis suavis";"Arthropoda";"Insecta";"Animalia";"Insects"
"Blackfordia virginica";"Blackfordia virginica";"Cnidaria";"Hydrozoa";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Botrylloides violaceus";"Botrylloides violaceus";"Chordata";"Ascidiacea";"Animalia";NA
"Corella eumyota";"Corella eumyota";"Chordata";"Ascidiacea";"Animalia";NA
"Didemnum vexillum";"Didemnum vexillum";"Chordata";"Ascidiacea";"Animalia";NA
"Haliclystus tenuis";"Haliclystus tenuis";"Cnidaria";"Staurozoa";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Moerisia inkermanica";"Moerisia inkermanica";"Cnidaria";"Hydrozoa";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Neodexiospira brasiliensis";"Neodexiospira brasiliensis";"Annelida";"Polychaeta";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Pileolaria berkeleyana";"Pileolaria berkeleyana";"Annelida";"Polychaeta";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Pileolaria militaris";"Pileolaria militaris";"Annelida";"Polychaeta";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Polydora websteri";"Polydora websteri";"Annelida";"Polychaeta";"Animalia";"Invertebrates (excl. Arthropods, Molluscs)"
"Haminoea solitaria";"Haminella solitaria";"Mollusca";"Gastropoda";"Animalia";"Molluscs"
"Mulinia lateralis";"Mulinia lateralis";"Mollusca";"Bivalvia";"Animalia";"Molluscs"
"Ruditapes philippinarum";"Ruditapes philippinarum";"Mollusca";"Bivalvia";"Animalia";"Molluscs"
"Asplenium foresiense";"Asplenium foresiense";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Dryopteris oreades";"Dryopteris oreades";"Tracheophyta";"Polypodiopsida";"Plantae";"Vascular plants"
"Caulerpa taxifolia";"Caulerpa taxifolia";"Chlorophyta";"Ulvophyceae";"Plantae";"Algae"
"Dictyota cyanoloma";"Dictyota cyanoloma";"Ochrophyta";"Phaeophyceae";"Chromista";NA
"Euthymonacha polita";"Euthymonacha polita";"Foraminifera";"Tubothalamea";"Chromista";NA
"Scytosiphon dotyi";"Scytosiphon dotyi";"Ochrophyta";"Phaeophyceae";"Chromista";NA
"Celleporaria brunnea";"Celleporaria brunnea";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Celleporaria vermiformis";"Celleporaria vermiformis";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Tricellaria inopinata";"Tricellaria inopinata";"Bryozoa";"Gymnolaemata";"Animalia";"Bryozoa"
"Actaeodes tomentosus";"Actaeodes tomentosus";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Bemlos leptocheirus";"Bemlos leptocheirus";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Cymodoce fuscina";"Cymodoce fuscina";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Dyspanopeus sayi";"Dyspanopeus sayi";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Gonioinfradens paucidentatus";"Gonioinfradens paucidentatus";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Matuta victor";"Matuta victor";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Megabalanus tintinnabulum";"Megabalanus tintinnabulum";"Arthropoda";"Maxillopoda";"Animalia";"Crustaceans"
"Oithona davisae";"Oithona davisae";"Arthropoda";"Copepoda";"Animalia";NA
"Paranthura japonica";"Paranthura japonica";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Penaeus hathor";"Penaeus hathor";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Sphaeroma walkeri";"Sphaeroma walkeri";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Xanthias lamarckii";"Xanthias lamarckii";"Arthropoda";"Malacostraca";"Animalia";"Crustaceans"
"Abudefduf sexfasciatus";"Abudefduf sexfasciatus";"Chordata";NA;"Animalia";NA
"Acanthurus sohal";"Acanthurus sohal";"Chordata";NA;"Animalia";NA
"Bregmaceros nectabanus";"Bregmaceros nectabanus";"Chordata";NA;"Animalia";NA
"Chaetodipterus faber";"Chaetodipterus faber";"Chordata";NA;"Animalia";NA
"Champsodon nudivittis";"Champsodon nudivittis";"Chordata";NA;"Animalia";NA
"Lutjanus argentimaculatus";"Lutjanus argentimaculatus";"Chordata";NA;"Animalia";NA
"Lutjanus sebae";"Lutjanus sebae";"Chordata";NA;"Animalia";NA
"Nemipterus randalli";"Nemipterus randalli";"Chordata";NA;"Animalia";NA
"Oxyurichthys papuensis";"Oxyurichthys papuensis";"Chordata";NA;"Animalia";NA
"Parupeneus forsskali";"Parupeneus forsskali";"Chordata";NA;"Animalia";NA
