country;species;LifeForm;count;firstRec
Spain;Sophonia orientalis;Insects;10;2017
Sea or Ocean;Sophonia orientalis;Insects;3;2019
Greece;Sphodromantis viridis;Insects;5;2019
Italy;Sphodromantis viridis;Insects;1;2019
Portugal;Sphodromantis viridis;Insects;42;2014
Romania;Sphodromantis viridis;Insects;1;2015
Spain;Sphodromantis viridis;Insects;286;2006
Sea or Ocean;Sphodromantis viridis;Insects;284;2005
France;Spilostethus furculus;Insects;111;2016
Greece;Spilostethus furculus;Insects;5;2019
Italy;Spilostethus furculus;Insects;3;2017
Portugal;Spilostethus furculus;Insects;17;2010
Spain;Spilostethus furculus;Insects;87;2011
Sea or Ocean;Spilostethus furculus;Insects;106;2008
Belgium;Stenopelmus rufinasus;Insects;2;2013
Netherlands;Stenopelmus rufinasus;Insects;23;2011
Sea or Ocean;Stenopelmus rufinasus;Insects;4;2018
France;Stephanitis lauri;Insects;9;2017
Italy;Stephanitis lauri;Insects;2;2020
Austria;Stephanitis takeyai;Insects;3;2015
Belgium;Stephanitis takeyai;Insects;11;2008
France;Stephanitis takeyai;Insects;10;2018
Germany;Stephanitis takeyai;Insects;84;2007
Netherlands;Stephanitis takeyai;Insects;311;2005
Poland;Stephanitis takeyai;Insects;1;2016
Portugal;Stephanitis takeyai;Insects;1;2021
Spain;Stephanitis takeyai;Insects;1;2021
Sweden;Stephanitis takeyai;Insects;2;2016
United Kingdom;Stephanitis takeyai;Insects;65;2017
Sea or Ocean;Stephanitis takeyai;Insects;5;2016
Sweden;Sternochetus mangiferae;Insects;1;2002
Sea or Ocean;Sternochetus mangiferae;Insects;2;1993
Austria;Stragania apicalis;Insects;3;2020
Germany;Stragania apicalis;Insects;7;2013
Netherlands;Stragania apicalis;Insects;33;2016
Spain;Stricticollis tobias;Insects;2;2016
Sweden;Stricticollis tobias;Insects;38;1990
Sea or Ocean;Stricticollis tobias;Insects;2;2005
Albania;Supella longipalpa;Insects;1;2019
Denmark;Supella longipalpa;Insects;1;2021
France;Supella longipalpa;Insects;7;2019
Germany;Supella longipalpa;Insects;3;2018
Greece;Supella longipalpa;Insects;11;2014
Italy;Supella longipalpa;Insects;26;2004
Sea or Ocean;Supella longipalpa;Insects;16;2011
Sea or Ocean;Synergus gallaepomiformis;Insects;2;2020
Italy;Takahashia japonica;Insects;5;2021
Finland;Tanysphyrus ater;Insects;6;2002
Sweden;Tanysphyrus ater;Insects;20;1999
Sea or Ocean;Tanysphyrus ater;Insects;1;2014
Netherlands;Tapinoma ibericum;Insects;1;2018
Germany;Tautoneura polymitusa;Insects;2;2020
Romania;Tautoneura polymitusa;Insects;2;2017
Sea or Ocean;Tautoneura polymitusa;Insects;2;2017
Belgium;Telmatogeton japonicus;Insects;2;2019
Netherlands;Telmatogeton japonicus;Insects;4;2016
Sea or Ocean;Telmatogeton japonicus;Insects;13;2007
Italy;Tetramorium bicarinatum;Insects;4;2019
Sea or Ocean;Tetramorium bicarinatum;Insects;3;2018
Albania;Thaumastocoris peregrinus;Insects;2;2016
France;Thaumastocoris peregrinus;Insects;2;2020
Greece;Thaumastocoris peregrinus;Insects;2;2019
Italy;Thaumastocoris peregrinus;Insects;13;2017
Portugal;Thaumastocoris peregrinus;Insects;5;2014
Spain;Thaumastocoris peregrinus;Insects;6;2019
Sea or Ocean;Thaumastocoris peregrinus;Insects;15;2019
Spain;Trachymela sloanei;Insects;12;2014
Belarus;Trichoferus campestris;Insects;6;2020
Germany;Trichoferus campestris;Insects;2;2021
Greece;Trichoferus campestris;Insects;1;2020
Hungary;Trichoferus campestris;Insects;2;2021
Italy;Trichoferus campestris;Insects;2;2020
Lithuania;Trichoferus campestris;Insects;2;2021
Poland;Trichoferus campestris;Insects;4;2015
Republic of Moldova;Trichoferus campestris;Insects;4;2014
Romania;Trichoferus campestris;Insects;3;2019
Slovakia;Trichoferus campestris;Insects;1;2021
Switzerland;Trichoferus campestris;Insects;3;2019
Ukraine;Trichoferus campestris;Insects;34;2012
Sea or Ocean;Trichoferus campestris;Insects;26;2015
Croatia;Trichopoda pennipes;Insects;4;2020
France;Trichopoda pennipes;Insects;89;2014
Germany;Trichopoda pennipes;Insects;1;2020
Greece;Trichopoda pennipes;Insects;4;2015
Italy;Trichopoda pennipes;Insects;111;2011
Montenegro;Trichopoda pennipes;Insects;2;2020
Portugal;Trichopoda pennipes;Insects;4;2011
Slovenia;Trichopoda pennipes;Insects;3;2010
Spain;Trichopoda pennipes;Insects;36;2011
Switzerland;Trichopoda pennipes;Insects;3;2019
Sea or Ocean;Trichopoda pennipes;Insects;11;2011
Sea or Ocean;Trioza brevigenae;Insects;2;2019
Sweden;Trixagus atticus;Insects;19;2005
France;Trotomma pubescens;Insects;1;2020
Belgium;Tuta absoluta;Insects;39;2011
Denmark;Tuta absoluta;Insects;2;2018
Italy;Tuta absoluta;Insects;8;2016
Netherlands;Tuta absoluta;Insects;47;2010
Norway;Tuta absoluta;Insects;1;2019
Portugal;Tuta absoluta;Insects;1;2021
Spain;Tuta absoluta;Insects;6;2016
United Kingdom;Tuta absoluta;Insects;1;2021
Sea or Ocean;Tuta absoluta;Insects;11;2016
Albania;Vespa orientalis;Insects;16;2016
Bulgaria;Vespa orientalis;Insects;2;2019
Germany;Vespa orientalis;Insects;1;2017
Greece;Vespa orientalis;Insects;218;2006
Italy;Vespa orientalis;Insects;134;2011
Romania;Vespa orientalis;Insects;21;2019
Spain;Vespa orientalis;Insects;3;2020
Ukraine;Vespa orientalis;Insects;2;2006
Sea or Ocean;Vespa orientalis;Insects;442;2008
Belgium;Vespa velutina;Insects;2780;2011
France;Vespa velutina;Insects;1938;2010
Germany;Vespa velutina;Insects;9;2018
Italy;Vespa velutina;Insects;11;2018
Luxembourg;Vespa velutina;Insects;4;2020
Netherlands;Vespa velutina;Insects;39;2017
Portugal;Vespa velutina;Insects;664;2014
Spain;Vespa velutina;Insects;743;2011
Sweden;Vespa velutina;Insects;3;2019
Sea or Ocean;Vespa velutina;Insects;707;2014
Sweden;Xyleborus bodoanus;Insects;5;2014
France;Xylosandrus compactus;Insects;1;2020
France;Xylotrechus chinensis;Insects;10;2019
Greece;Xylotrechus chinensis;Insects;13;2019
Spain;Xylotrechus chinensis;Insects;8;2019
Sea or Ocean;Xylotrechus chinensis;Insects;2;2021
Spain;Zaprionus indianus;Insects;2;2021
Sea or Ocean;Zaprionus indianus;Insects;3;2020
Greece;Zaprionus tuberculatus;Insects;1;2020
Sea or Ocean;Zaprionus tuberculatus;Insects;2;2020
Albania;Zelus renardii;Insects;8;2016
Denmark;Zelus renardii;Insects;2;2020
France;Zelus renardii;Insects;26;2017
Germany;Zelus renardii;Insects;1;2020
Greece;Zelus renardii;Insects;141;2015
Italy;Zelus renardii;Insects;151;2017
Montenegro;Zelus renardii;Insects;2;2020
Portugal;Zelus renardii;Insects;1;2021
Spain;Zelus renardii;Insects;184;2015
United Kingdom;Zelus renardii;Insects;2;2020
Sea or Ocean;Zelus renardii;Insects;360;2013
Germany;Zygina nivea;Insects;1;2018
Italy;Zygina nivea;Insects;2;2012
Netherlands;Zygina nivea;Insects;21;2011
Portugal;Zygina nivea;Insects;2;2010
United Kingdom;Zygina nivea;Insects;4;2020
Austria;Zyginella pulchra;Insects;17;2008
Belgium;Zyginella pulchra;Insects;1;2019
France;Zyginella pulchra;Insects;4;2016
Germany;Zyginella pulchra;Insects;20;2014
Netherlands;Zyginella pulchra;Insects;64;2010
Serbia;Zyginella pulchra;Insects;2;2021
Sweden;Zyginella pulchra;Insects;3;2018
United Kingdom;Zyginella pulchra;Insects;10;2008
Sea or Ocean;Zyginella pulchra;Insects;11;2013
Netherlands;Barbronia weberi;Invertebrates (excl. Arthropods, Molluscs);2;2014
Ukraine;Beroe ovata;Invertebrates (excl. Arthropods, Molluscs);2;2015
Sea or Ocean;Beroe ovata;Invertebrates (excl. Arthropods, Molluscs);10;2005
Netherlands;Bispira polyomma;Invertebrates (excl. Arthropods, Molluscs);13;2015
Sea or Ocean;Bispira polyomma;Invertebrates (excl. Arthropods, Molluscs);17;2016
Netherlands;Blackfordia virginica;Invertebrates (excl. Arthropods, Molluscs);1;2014
Portugal;Blackfordia virginica;Invertebrates (excl. Arthropods, Molluscs);1;2019
Sea or Ocean;Blackfordia virginica;Invertebrates (excl. Arthropods, Molluscs);1;2008
Netherlands;Boccardiella ligerica;Invertebrates (excl. Arthropods, Molluscs);8;2000
Sea or Ocean;Boccardiella ligerica;Invertebrates (excl. Arthropods, Molluscs);2;2010
Sea or Ocean;Branchiomma bairdi;Invertebrates (excl. Arthropods, Molluscs);1;2014
France;Caenoplana bicolor;Invertebrates (excl. Arthropods, Molluscs);8;2020
Netherlands;Caenoplana bicolor;Invertebrates (excl. Arthropods, Molluscs);1;2014
Spain;Caenoplana bicolor;Invertebrates (excl. Arthropods, Molluscs);2;2019
United Kingdom;Caenoplana bicolor;Invertebrates (excl. Arthropods, Molluscs);11;2015
Sea or Ocean;Caenoplana bicolor;Invertebrates (excl. Arthropods, Molluscs);7;2019
Sea or Ocean;Cassiopea andromeda;Invertebrates (excl. Arthropods, Molluscs);11;2017
Austria;Craspedacusta sowerbii;Invertebrates (excl. Arthropods, Molluscs);10;2012
Belgium;Craspedacusta sowerbii;Invertebrates (excl. Arthropods, Molluscs);2;2014
France;Craspedacusta sowerbii;Invertebrates (excl. Arthropods, Molluscs);5;2005
Germany;Craspedacusta sowerbii;Invertebrates (excl. Arthropods, Molluscs);20;2001
Italy;Craspedacusta sowerbii;Invertebrates (excl. Arthropods, Molluscs);3;2009
Netherlands;Craspedacusta sowerbii;Invertebrates (excl. Arthropods, Molluscs);78;1993
Serbia;Craspedacusta sowerbii;Invertebrates (excl. Arthropods, Molluscs);2;2018
Sweden;Craspedacusta sowerbii;Invertebrates (excl. Arthropods, Molluscs);12;2018
Ukraine;Craspedacusta sowerbii;Invertebrates (excl. Arthropods, Molluscs);10;2007
Sea or Ocean;Craspedacusta sowerbii;Invertebrates (excl. Arthropods, Molluscs);2;2007
Greece;Diadema setosum;Invertebrates (excl. Arthropods, Molluscs);10;2017
Spain;Diadema setosum;Invertebrates (excl. Arthropods, Molluscs);1;2013
Sea or Ocean;Diadema setosum;Invertebrates (excl. Arthropods, Molluscs);67;2017
Belgium;Diadumene lineata;Invertebrates (excl. Arthropods, Molluscs);2;2013
Denmark;Diadumene lineata;Invertebrates (excl. Arthropods, Molluscs);7;2019
France;Diadumene lineata;Invertebrates (excl. Arthropods, Molluscs);4;2021
Germany;Diadumene lineata;Invertebrates (excl. Arthropods, Molluscs);2;2020
Ireland;Diadumene lineata;Invertebrates (excl. Arthropods, Molluscs);1;2016
Italy;Diadumene lineata;Invertebrates (excl. Arthropods, Molluscs);2;2021
Netherlands;Diadumene lineata;Invertebrates (excl. Arthropods, Molluscs);23;2012
Spain;Diadumene lineata;Invertebrates (excl. Arthropods, Molluscs);1;2018
Sea or Ocean;Diadumene lineata;Invertebrates (excl. Arthropods, Molluscs);37;1997
Austria;Echinococcus multilocularis;Invertebrates (excl. Arthropods, Molluscs);2;2013
Netherlands;Euchone limnicola;Invertebrates (excl. Arthropods, Molluscs);1;2016
Sea or Ocean;Euchone limnicola;Invertebrates (excl. Arthropods, Molluscs);3;2016
Sea or Ocean;Euplokamis dunlapae;Invertebrates (excl. Arthropods, Molluscs);2;2011
Belgium;Ficopomatus enigmaticus;Invertebrates (excl. Arthropods, Molluscs);9;2008
France;Ficopomatus enigmaticus;Invertebrates (excl. Arthropods, Molluscs);2;2016
Netherlands;Ficopomatus enigmaticus;Invertebrates (excl. Arthropods, Molluscs);42;1997
Sweden;Ficopomatus enigmaticus;Invertebrates (excl. Arthropods, Molluscs);2;2020
United Kingdom;Ficopomatus enigmaticus;Invertebrates (excl. Arthropods, Molluscs);4;2015
Sea or Ocean;Ficopomatus enigmaticus;Invertebrates (excl. Arthropods, Molluscs);39;2008
Norway;Gracilechinus acutus;Invertebrates (excl. Arthropods, Molluscs);22;2013
Sweden;Gracilechinus acutus;Invertebrates (excl. Arthropods, Molluscs);6;2000
Sea or Ocean;Gracilechinus acutus;Invertebrates (excl. Arthropods, Molluscs);101;1990
United Kingdom;Haliclystus salpinx;Invertebrates (excl. Arthropods, Molluscs);1;2009
Netherlands;Hypania invalida;Invertebrates (excl. Arthropods, Molluscs);16;2001
Netherlands;Limnodrilus cervix;Invertebrates (excl. Arthropods, Molluscs);1;2011
Germany;Marenzelleria viridis;Invertebrates (excl. Arthropods, Molluscs);1;2018
Sweden;Marenzelleria viridis;Invertebrates (excl. Arthropods, Molluscs);2;2013
Sea or Ocean;Marenzelleria viridis;Invertebrates (excl. Arthropods, Molluscs);6;2003
Belgium;Marionfyfea adventor;Invertebrates (excl. Arthropods, Molluscs);1;2021
France;Marionfyfea adventor;Invertebrates (excl. Arthropods, Molluscs);23;2020
Belgium;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);14;2010
Croatia;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);4;2017
Denmark;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);10;2019
France;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);4;2012
Germany;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);12;2006
Greece;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);4;2020
Italy;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);19;2016
Netherlands;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);27;2006
Norway;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);22;2016
Slovenia;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);2;2020
Sweden;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);36;2007
Ukraine;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);1;2020
Sea or Ocean;Mnemiopsis leidyi;Invertebrates (excl. Arthropods, Molluscs);311;2006
Sea or Ocean;Neodexiospira brasiliensis;Invertebrates (excl. Arthropods, Molluscs);3;2017
Belgium;Obama nungara;Invertebrates (excl. Arthropods, Molluscs);21;2017
Croatia;Obama nungara;Invertebrates (excl. Arthropods, Molluscs);1;2021
France;Obama nungara;Invertebrates (excl. Arthropods, Molluscs);34;2014
Germany;Obama nungara;Invertebrates (excl. Arthropods, Molluscs);4;2020
Hungary;Obama nungara;Invertebrates (excl. Arthropods, Molluscs);2;2021
Italy;Obama nungara;Invertebrates (excl. Arthropods, Molluscs);7;2018
Netherlands;Obama nungara;Invertebrates (excl. Arthropods, Molluscs);1;2021
Portugal;Obama nungara;Invertebrates (excl. Arthropods, Molluscs);4;2020
Spain;Obama nungara;Invertebrates (excl. Arthropods, Molluscs);1;2017
Sea or Ocean;Obama nungara;Invertebrates (excl. Arthropods, Molluscs);7;2012
France;Paraleucilla magna;Invertebrates (excl. Arthropods, Molluscs);2;2021
Sea or Ocean;Paraleucilla magna;Invertebrates (excl. Arthropods, Molluscs);3;2019
Sea or Ocean;Pileolaria berkeleyana;Invertebrates (excl. Arthropods, Molluscs);15;2019
Sweden;Polydora cornuta;Invertebrates (excl. Arthropods, Molluscs);29;2013
Sea or Ocean;Polydora cornuta;Invertebrates (excl. Arthropods, Molluscs);18;2010
Sweden;Polydora websteri;Invertebrates (excl. Arthropods, Molluscs);1;2021
Sea or Ocean;Polydora websteri;Invertebrates (excl. Arthropods, Molluscs);1;2020
Belgium;Potamothrix hammoniensis;Invertebrates (excl. Arthropods, Molluscs);2;2003
Netherlands;Potamothrix hammoniensis;Invertebrates (excl. Arthropods, Molluscs);12;1997
Sweden;Potamothrix hammoniensis;Invertebrates (excl. Arthropods, Molluscs);478;1990
Sea or Ocean;Rhopilema nomadica;Invertebrates (excl. Arthropods, Molluscs);26;2010
United Kingdom;Tharyx killariensis;Invertebrates (excl. Arthropods, Molluscs);1;2012
Sea or Ocean;Tharyx killariensis;Invertebrates (excl. Arthropods, Molluscs);6;2004
France;Ammotragus lervia;Mammals;2;2021
Portugal;Ammotragus lervia;Mammals;2;2007
Spain;Ammotragus lervia;Mammals;102;2010
Sea or Ocean;Atlantoxerus getulus;Mammals;5;2011
Belgium;Callosciurus prevostii;Mammals;6;2011
Netherlands;Callosciurus prevostii;Mammals;1;2018
Finland;Castor canadensis;Mammals;19;2010
Germany;Castor canadensis;Mammals;2;2016
Sweden;Castor canadensis;Mammals;2;2006
Belgium;Cynomys ludovicianus;Mammals;2;2003
Germany;Cynomys ludovicianus;Mammals;1;2015
Italy;Cynomys ludovicianus;Mammals;2;2011
Netherlands;Cynomys ludovicianus;Mammals;3;2009
Sea or Ocean;Cynomys ludovicianus;Mammals;2;2005
Sea or Ocean;Hystrix indica;Mammals;115;2000
Austria;Mustela putorius;Mammals;40;1993
Belgium;Mustela putorius;Mammals;324;1995
Bulgaria;Mustela putorius;Mammals;1;2017
Croatia;Mustela putorius;Mammals;7;2015
Czech Republic;Mustela putorius;Mammals;5;2019
Denmark;Mustela putorius;Mammals;733;1990
Estonia;Mustela putorius;Mammals;4;2019
Finland;Mustela putorius;Mammals;2;2019
France;Mustela putorius;Mammals;193;1991
Germany;Mustela putorius;Mammals;443;1991
Ireland;Mustela putorius;Mammals;1;2020
Italy;Mustela putorius;Mammals;109;2001
Jersey;Mustela putorius;Mammals;1;2021
Liechtenstein;Mustela putorius;Mammals;6;2007
Lithuania;Mustela putorius;Mammals;2;2008
Luxembourg;Mustela putorius;Mammals;8;2020
Netherlands;Mustela putorius;Mammals;8927;1990
Norway;Mustela putorius;Mammals;42;1991
Poland;Mustela putorius;Mammals;6;2012
Portugal;Mustela putorius;Mammals;16;2016
Romania;Mustela putorius;Mammals;8;2014
Serbia;Mustela putorius;Mammals;3;2015
Slovenia;Mustela putorius;Mammals;10;2015
Spain;Mustela putorius;Mammals;73;2011
Sweden;Mustela putorius;Mammals;376;1990
Switzerland;Mustela putorius;Mammals;3798;1990
United Kingdom;Mustela putorius;Mammals;87;2017
Sea or Ocean;Mustela putorius;Mammals;1377;1992
Belarus;Nyctereutes procyonoides;Mammals;7;2009
Belgium;Nyctereutes procyonoides;Mammals;6;2002
Czech Republic;Nyctereutes procyonoides;Mammals;5;2017
Denmark;Nyctereutes procyonoides;Mammals;233;1993
Estonia;Nyctereutes procyonoides;Mammals;67;2012
Finland;Nyctereutes procyonoides;Mammals;48;2011
France;Nyctereutes procyonoides;Mammals;2;2013
Germany;Nyctereutes procyonoides;Mammals;242;2005
Latvia;Nyctereutes procyonoides;Mammals;2;2015
Lithuania;Nyctereutes procyonoides;Mammals;19;2008
Luxembourg;Nyctereutes procyonoides;Mammals;2;2016
Netherlands;Nyctereutes procyonoides;Mammals;35;2004
Norway;Nyctereutes procyonoides;Mammals;4;2000
Poland;Nyctereutes procyonoides;Mammals;61;2012
Romania;Nyctereutes procyonoides;Mammals;5;2010
Slovakia;Nyctereutes procyonoides;Mammals;2;2019
Sweden;Nyctereutes procyonoides;Mammals;5;1993
Switzerland;Nyctereutes procyonoides;Mammals;33;1997
Ukraine;Nyctereutes procyonoides;Mammals;6;2011
Sea or Ocean;Nyctereutes procyonoides;Mammals;105;1992
Czech Republic;Odocoileus virginianus;Mammals;3;2020
Finland;Odocoileus virginianus;Mammals;191;1998
Sea or Ocean;Odocoileus virginianus;Mammals;35;2016
Austria;Ovis aries;Mammals;2;2016
Belarus;Ovis aries;Mammals;2;2020
Belgium;Ovis aries;Mammals;9;2016
Bosnia and Herzegovina;Ovis aries;Mammals;5;2019
Bulgaria;Ovis aries;Mammals;2;2020
Croatia;Ovis aries;Mammals;6;2019
Czech Republic;Ovis aries;Mammals;23;2020
Denmark;Ovis aries;Mammals;62;2017
Faroe Islands;Ovis aries;Mammals;3;2020
France;Ovis aries;Mammals;57;2015
Germany;Ovis aries;Mammals;28;2016
Greece;Ovis aries;Mammals;13;2010
Hungary;Ovis aries;Mammals;2;2006
Iceland;Ovis aries;Mammals;39;2012
Ireland;Ovis aries;Mammals;10;2006
Italy;Ovis aries;Mammals;49;2015
Lithuania;Ovis aries;Mammals;4;2020
Netherlands;Ovis aries;Mammals;152;2004
Norway;Ovis aries;Mammals;7;2017
Poland;Ovis aries;Mammals;3;2020
Portugal;Ovis aries;Mammals;12;2008
Serbia;Ovis aries;Mammals;4;2013
Slovakia;Ovis aries;Mammals;2;2020
Slovenia;Ovis aries;Mammals;8;2015
Spain;Ovis aries;Mammals;155;2007
Sweden;Ovis aries;Mammals;10;2014
Switzerland;Ovis aries;Mammals;7;2021
Ukraine;Ovis aries;Mammals;19;2019
United Kingdom;Ovis aries;Mammals;9;1990
Sea or Ocean;Ovis aries;Mammals;158;2004
Italy;Phodopus sungorus;Mammals;1;2020
Austria;Procyon lotor;Mammals;1;2018
Belgium;Procyon lotor;Mammals;166;1993
Czech Republic;Procyon lotor;Mammals;1;2020
Denmark;Procyon lotor;Mammals;14;1995
France;Procyon lotor;Mammals;32;2002
Germany;Procyon lotor;Mammals;2367;1996
Italy;Procyon lotor;Mammals;6;2014
Liechtenstein;Procyon lotor;Mammals;1;2016
Luxembourg;Procyon lotor;Mammals;119;2012
Netherlands;Procyon lotor;Mammals;67;2001
Poland;Procyon lotor;Mammals;14;1999
Portugal;Procyon lotor;Mammals;2;2008
Serbia;Procyon lotor;Mammals;1;2020
Spain;Procyon lotor;Mammals;5;2012
Sweden;Procyon lotor;Mammals;1;2009
Switzerland;Procyon lotor;Mammals;245;1990
Sea or Ocean;Procyon lotor;Mammals;24;2003
Austria;Spermophilus citellus;Mammals;258;1992
Bulgaria;Spermophilus citellus;Mammals;119;2004
Czech Republic;Spermophilus citellus;Mammals;67;2010
Germany;Spermophilus citellus;Mammals;1;2021
Greece;Spermophilus citellus;Mammals;17;2009
Hungary;Spermophilus citellus;Mammals;162;1995
Poland;Spermophilus citellus;Mammals;3;2009
Romania;Spermophilus citellus;Mammals;653;2000
Serbia;Spermophilus citellus;Mammals;7;2011
Slovakia;Spermophilus citellus;Mammals;25;2007
Ukraine;Spermophilus citellus;Mammals;3;2020
Sea or Ocean;Spermophilus citellus;Mammals;80;2006
Albania;Sus scrofa;Mammals;1;2015
Austria;Sus scrofa;Mammals;131;1990
Belarus;Sus scrofa;Mammals;60;2004
Belgium;Sus scrofa;Mammals;931;2005
Bulgaria;Sus scrofa;Mammals;47;2014
Croatia;Sus scrofa;Mammals;53;2009
Czech Republic;Sus scrofa;Mammals;130;2011
Denmark;Sus scrofa;Mammals;463;1991
Estonia;Sus scrofa;Mammals;13;2014
France;Sus scrofa;Mammals;1332;1990
Germany;Sus scrofa;Mammals;7570;1991
Greece;Sus scrofa;Mammals;38;2014
Hungary;Sus scrofa;Mammals;26;2011
Italy;Sus scrofa;Mammals;2129;1991
Latvia;Sus scrofa;Mammals;2;2013
Liechtenstein;Sus scrofa;Mammals;13;1998
Lithuania;Sus scrofa;Mammals;63;2006
Luxembourg;Sus scrofa;Mammals;143;2009
Montenegro;Sus scrofa;Mammals;2;2019
Netherlands;Sus scrofa;Mammals;13773;1990
Norway;Sus scrofa;Mammals;35;2010
Poland;Sus scrofa;Mammals;433;2006
Portugal;Sus scrofa;Mammals;401;2009
Romania;Sus scrofa;Mammals;23;2008
Serbia;Sus scrofa;Mammals;11;2007
Slovakia;Sus scrofa;Mammals;33;2009
Slovenia;Sus scrofa;Mammals;4;2018
Spain;Sus scrofa;Mammals;1647;1999
Sweden;Sus scrofa;Mammals;4105;1993
Switzerland;Sus scrofa;Mammals;4921;1990
The former Yugoslav Republic of Macedonia;Sus scrofa;Mammals;1;2015
Ukraine;Sus scrofa;Mammals;69;2007
United Kingdom;Sus scrofa;Mammals;46;2008
Sea or Ocean;Sus scrofa;Mammals;2153;1996
Belgium;Tamias sibiricus;Mammals;1522;1990
France;Tamias sibiricus;Mammals;200;1994
Germany;Tamias sibiricus;Mammals;6;2001
Italy;Tamias sibiricus;Mammals;9;2004
Netherlands;Tamias sibiricus;Mammals;889;2004
Sea or Ocean;Tamias sibiricus;Mammals;37;1993
Germany;Tamias striatus;Mammals;1;2021
Romania;Vormela peregusna;Mammals;2;2018
Ukraine;Vormela peregusna;Mammals;3;2020
Sea or Ocean;Vormela peregusna;Mammals;3;1992
Belgium;Ambigolimax valentianus;Molluscs;1781;2008
France;Ambigolimax valentianus;Molluscs;56;2015
Germany;Ambigolimax valentianus;Molluscs;15;2017
Greece;Ambigolimax valentianus;Molluscs;1;2020
Italy;Ambigolimax valentianus;Molluscs;29;2015
Lithuania;Ambigolimax valentianus;Molluscs;3;2019
Netherlands;Ambigolimax valentianus;Molluscs;397;2002
Portugal;Ambigolimax valentianus;Molluscs;1;2021
Spain;Ambigolimax valentianus;Molluscs;27;2002
Sweden;Ambigolimax valentianus;Molluscs;38;2001
Switzerland;Ambigolimax valentianus;Molluscs;6;2009
Sea or Ocean;Ambigolimax valentianus;Molluscs;144;2009
Italy;Arcuatula senhousia;Molluscs;1;2018
Sea or Ocean;Arcuatula senhousia;Molluscs;6;2018
United Kingdom;Brachidontes exustus;Molluscs;1;2016
Albania;Bursatella leachii;Molluscs;2;2016
Greece;Bursatella leachii;Molluscs;7;2013
Italy;Bursatella leachii;Molluscs;4;2015
Spain;Bursatella leachii;Molluscs;2;2007
Sea or Ocean;Bursatella leachii;Molluscs;48;2009
Ireland;Chama congregata;Molluscs;1;2015
United Kingdom;Chama congregata;Molluscs;2;2015
Albania;Corbicula fluminea;Molluscs;2;2020
Austria;Corbicula fluminea;Molluscs;32;2005
Belgium;Corbicula fluminea;Molluscs;216;2008
Croatia;Corbicula fluminea;Molluscs;3;2019
Czech Republic;Corbicula fluminea;Molluscs;17;2020
France;Corbicula fluminea;Molluscs;180;2013
Germany;Corbicula fluminea;Molluscs;560;1995
Greece;Corbicula fluminea;Molluscs;2;2019
Hungary;Corbicula fluminea;Molluscs;9;2020
Italy;Corbicula fluminea;Molluscs;201;2012
Luxembourg;Corbicula fluminea;Molluscs;1;2021
Netherlands;Corbicula fluminea;Molluscs;634;1997
Poland;Corbicula fluminea;Molluscs;8;2018
Portugal;Corbicula fluminea;Molluscs;117;2009
Romania;Corbicula fluminea;Molluscs;2;2021
Serbia;Corbicula fluminea;Molluscs;4;2017
Slovakia;Corbicula fluminea;Molluscs;3;2017
Slovenia;Corbicula fluminea;Molluscs;2;2020
Spain;Corbicula fluminea;Molluscs;43;2012
Switzerland;Corbicula fluminea;Molluscs;336;1994
United Kingdom;Corbicula fluminea;Molluscs;26;2016
Sea or Ocean;Corbicula fluminea;Molluscs;43;2006
Sea or Ocean;Dendostrea frons;Molluscs;1;2017
Austria;Dreissena rostriformis;Molluscs;3;2020
Ukraine;Dreissena rostriformis;Molluscs;3;2021
Belgium;Ensis leei;Molluscs;106;2001
Denmark;Ensis leei;Molluscs;30;2007
France;Ensis leei;Molluscs;9;2015
Germany;Ensis leei;Molluscs;40;2003
Netherlands;Ensis leei;Molluscs;251;1993
Norway;Ensis leei;Molluscs;10;2012
Spain;Ensis leei;Molluscs;2;2011
Sweden;Ensis leei;Molluscs;90;1990
United Kingdom;Ensis leei;Molluscs;95;1992
Sea or Ocean;Ensis leei;Molluscs;1211;1991
Sea or Ocean;Goniobranchus obsoletus;Molluscs;2;2017
Austria;Hygromia cinctella;Molluscs;122;2017
Belgium;Hygromia cinctella;Molluscs;1056;2008
Croatia;Hygromia cinctella;Molluscs;12;2017
Czech Republic;Hygromia cinctella;Molluscs;11;2021
Denmark;Hygromia cinctella;Molluscs;18;2019
France;Hygromia cinctella;Molluscs;412;2006
Germany;Hygromia cinctella;Molluscs;401;1993
Hungary;Hygromia cinctella;Molluscs;11;2017
Italy;Hygromia cinctella;Molluscs;159;1990
