"species";"LifeForm";"Region";"off_FirstRec"
"Glaucium grandiflorum";"Vascular plants";"Belgium";2016
"Glyceria striata";"Vascular plants";"Belgium";2017
"Gomphocarpus fruticosus";"Vascular plants";"Belgium";2017
"Guizotia scabra";"Vascular plants";"Belgium";2015
"Guizotia schimperi";"Vascular plants";"Belgium";2015
"Gutenbergia rueppellii";"Vascular plants";"Belgium";2013
"Halimium alyssoides";"Vascular plants";"Belgium";2012
"Hedera hibernica";"Vascular plants";"Belgium";2010
"Hedera maroccana";"Vascular plants";"Belgium";2010
"Helianthus decapetalus";"Vascular plants";"Belgium";2011
"Helianthus maximiliani";"Vascular plants";"Belgium";2019
"Helleborus lividus";"Vascular plants";"Belgium";2011
"Hemerocallis lilioasphodelus";"Vascular plants";"Belgium";2018
"Heracleum sphondylium";"Vascular plants";"Belgium";2017
"Himantoglossum robertianum";"Vascular plants";"Belgium";2014
"Hippophae rhamnoides";"Vascular plants";"Belgium";2010
"Hornungia alpina";"Vascular plants";"Belgium";2013
"Hornungia petraea";"Vascular plants";"Belgium";2020
"Houttuynia cordata";"Vascular plants";"Belgium";2010
"Hyacinthus orientalis";"Vascular plants";"Belgium";2015
"Hydrangea macrophylla";"Vascular plants";"Belgium";2013
"Hydrocharis laevigata";"Vascular plants";"Belgium";2013
"Hylotelephium spectabile";"Vascular plants";"Belgium";2010
"Hypericum hidcoteense";"Vascular plants";"Belgium";2015
"Hypericum inodorum";"Vascular plants";"Belgium";2015
"Hypericum moserianum";"Vascular plants";"Belgium";2015
"Hypericum olympicum";"Vascular plants";"Belgium";2014
"Ilex altaclerensis";"Vascular plants";"Belgium";2014
"Ilex crenata";"Vascular plants";"Belgium";2012
"Ilex meserveae";"Vascular plants";"Belgium";2014
"Ipheion uniflorum";"Vascular plants";"Belgium";2012
"Iris hollandica";"Vascular plants";"Belgium";2017
"Jacobaea albescens";"Vascular plants";"Belgium";2019
"Juglans cinerea";"Vascular plants";"Belgium";2012
"Juglans mandshurica";"Vascular plants";"Belgium";2020
"Juncus striatus";"Vascular plants";"Belgium";2015
"Juncus xiphioides";"Vascular plants";"Belgium";2013
"Kalanchoe blossfeldiana";"Vascular plants";"Belgium";2012
"Knautia macedonica";"Vascular plants";"Belgium";2011
"Kniphofia praecox";"Vascular plants";"Belgium";2015
"Koeleria glauca";"Vascular plants";"Belgium";2016
"Koenigia campanulata";"Vascular plants";"Belgium";2013
"Koenigia divaricata";"Vascular plants";"Belgium";2014
"Koenigia fennica";"Vascular plants";"Belgium";2014
"Kolkwitzia amabilis";"Vascular plants";"Belgium";2012
"Lamium confertum";"Vascular plants";"Belgium";2018
"Lamium garganicum";"Vascular plants";"Belgium";2011
"Lamium orvala";"Vascular plants";"Belgium";2011
"Lamprocapnos spectabilis";"Vascular plants";"Belgium";2010
"Larix decidua";"Vascular plants";"Belgium";2017
"Lathyrus heterophyllus";"Vascular plants";"Belgium";2011
"Laurus nobilis";"Vascular plants";"Belgium";2017
"Leycesteria formosa";"Vascular plants";"Belgium";2017
"Liatris spicata";"Vascular plants";"Belgium";2011
"Ligularia dentata";"Vascular plants";"Belgium";2010
"Ligularia przewalskii";"Vascular plants";"Belgium";2016
"Ligustrum vicaryi";"Vascular plants";"Belgium";2011
"Lilium hollandicum";"Vascular plants";"Belgium";2016
"Liriope muscari";"Vascular plants";"Belgium";2015
"Lomelosia stellata";"Vascular plants";"Belgium";2017
"Lonicera chrysantha";"Vascular plants";"Belgium";2012
"Lonicera involucrata";"Vascular plants";"Belgium";2014
"Lonicera maackii";"Vascular plants";"Belgium";2015
"Lonicera morrowii";"Vascular plants";"Belgium";2010
"Lotus corniculatus";"Vascular plants";"Belgium";2019
"Lotus hispidus";"Vascular plants";"Belgium";2019
"Luzula nivea";"Vascular plants";"Belgium";2013
"Lysimachia fortunei";"Vascular plants";"Belgium";2016
"Mahonia aquifolium";"Vascular plants";"Belgium";2016
"Mahonia bealei";"Vascular plants";"Belgium";2016
"Maianthemum dilatatum";"Vascular plants";"Belgium";2013
"Maianthemum stellatum";"Vascular plants";"Belgium";2016
"Malus purpurea";"Vascular plants";"Belgium";2010
"Manihot grahamii";"Vascular plants";"Belgium";2017
"Matricaria aurea";"Vascular plants";"Belgium";2017
"Matthiola incana";"Vascular plants";"Belgium";2012
"Mazus miquelii";"Vascular plants";"Belgium";2015
"Mazus pumilus";"Vascular plants";"Belgium";2014
"Medicago monspeliaca";"Vascular plants";"Belgium";2015
"Melampyrum nemorosum";"Vascular plants";"Belgium";2015
"Melilotus elegans";"Vascular plants";"Belgium";2012
"Melilotus infestus";"Vascular plants";"Belgium";2012
"Mentha cervina";"Vascular plants";"Belgium";2012
"Mentha requienii";"Vascular plants";"Belgium";2013
"Mentzelia albicaulis";"Vascular plants";"Belgium";2016
"Mimulus ringens";"Vascular plants";"Belgium";2019
"Monarda didyma";"Vascular plants";"Belgium";2014
"Moricandia arvensis";"Vascular plants";"Belgium";2017
"Morus nigra";"Vascular plants";"Belgium";2014
"Muehlenbeckia complexa";"Vascular plants";"Belgium";2016
"Musa basjoo";"Vascular plants";"Belgium";2020
"Muscari armeniacum";"Vascular plants";"Belgium";2019
"Muscari azureum";"Vascular plants";"Belgium";2014
"Muscari latifolium";"Vascular plants";"Belgium";2014
"Myosotis alpestris";"Vascular plants";"Belgium";2016
"Narcissus cyclazetta";"Vascular plants";"Belgium";2011
"Narcissus hispanicus";"Vascular plants";"Belgium";2014
"Narcissus incomparabilis";"Vascular plants";"Belgium";2012
"Narcissus pseudonarcissus";"Vascular plants";"Belgium";2013
"Narcissus tazetta";"Vascular plants";"Belgium";2011
"Neillia incisa";"Vascular plants";"Belgium";2012
"Neillia tanakae";"Vascular plants";"Belgium";2012
"Nemophila maculata";"Vascular plants";"Belgium";2016
"Nicotiana glauca";"Vascular plants";"Belgium";2011
"Nymphaea marliacea";"Vascular plants";"Belgium";2020
"Oenothera casimiri";"Vascular plants";"Belgium";2017
"Oenothera drawertii";"Vascular plants";"Belgium";2018
"Oenothera glazioviana";"Vascular plants";"Belgium";2014
"Oenothera lindheimeri";"Vascular plants";"Belgium";2017
"Oenothera moravica";"Vascular plants";"Belgium";2017
"Oenothera rubricaulis";"Vascular plants";"Belgium";2014
"Oenothera speciosa";"Vascular plants";"Belgium";2017
"Oenothera suaveolens";"Vascular plants";"Belgium";2015
"Oenothera villosa";"Vascular plants";"Belgium";2017
"Oncosiphon pilulifer";"Vascular plants";"Belgium";2017
"Onopordum beckianum";"Vascular plants";"Belgium";2018
"Onopordum tauricum";"Vascular plants";"Belgium";2014
"Ophiopogon jaburan";"Vascular plants";"Belgium";2018
"Opopanax chironium";"Vascular plants";"Belgium";2019
"Origanum onites";"Vascular plants";"Belgium";2020
"Ornithogalum narbonense";"Vascular plants";"Belgium";2013
"Oryza sativa";"Vascular plants";"Belgium";2018
"Oxalis dillenii";"Vascular plants";"Belgium";2012
"Oxalis tetraphylla";"Vascular plants";"Belgium";2011
"Oxalis triangularis";"Vascular plants";"Belgium";2011
"Paeonia lactiflora";"Vascular plants";"Belgium";2014
"Papaver commutatum";"Vascular plants";"Belgium";2015
"Papaver nudicaule";"Vascular plants";"Belgium";2014
"Parentucellia latifolia";"Vascular plants";"Belgium";2016
"Paronychia argentea";"Vascular plants";"Belgium";2016
"Paspalum saurae";"Vascular plants";"Belgium";2014
"Pelargonium candicans";"Vascular plants";"Belgium";2017
"Penstemon digitalis";"Vascular plants";"Belgium";2019
"Persea americana";"Vascular plants";"Belgium";2017
"Persicaria nepalensis";"Vascular plants";"Belgium";2010
"Petrosedum sediforme";"Vascular plants";"Belgium";2013
"Phacelia campanularia";"Vascular plants";"Belgium";2012
"Phedimus stolonifer";"Vascular plants";"Belgium";2011
"Phoenix dactylifera";"Vascular plants";"Belgium";2015
"Pholiurus pannonicus";"Vascular plants";"Belgium";2017
"Phyla nodiflora";"Vascular plants";"Belgium";2010
"Phyllostachys viridiglaucescens";"Vascular plants";"Belgium";2017
"Physostegia virginiana";"Vascular plants";"Belgium";2018
"Picea abies";"Vascular plants";"Belgium";2013
"Picea omorika";"Vascular plants";"Belgium";2013
"Picea sitchensis";"Vascular plants";"Belgium";2010
"Pieris japonica";"Vascular plants";"Belgium";2018
"Pilosella prussica";"Vascular plants";"Belgium";2016
"Pilosella stoloniflora";"Vascular plants";"Belgium";2016
"Pinus sylvestris";"Vascular plants";"Belgium";2012
"Pinus wallichiana";"Vascular plants";"Belgium";2012
"Plantago sempervirens";"Vascular plants";"Belgium";2016
"Platycodon grandiflorus";"Vascular plants";"Belgium";2013
"Pleioblastus argenteostriatus";"Vascular plants";"Belgium";2011
"Poa infirma";"Vascular plants";"Belgium";2016
"Polygonatum hybridum";"Vascular plants";"Belgium";2010
"Polystichum acrostichoides";"Vascular plants";"Belgium";2019
"Polystichum luctuosum";"Vascular plants";"Belgium";2013
"Polystichum munitum";"Vascular plants";"Belgium";2013
"Populus berolinensis";"Vascular plants";"Belgium";2015
"Populus canescens";"Vascular plants";"Belgium";2020
"Populus jackii";"Vascular plants";"Belgium";2010
"Potentilla intermedia";"Vascular plants";"Belgium";2020
"Potentilla nepalensis";"Vascular plants";"Belgium";2010
"Potentilla recta";"Vascular plants";"Belgium";2011
"Potentilla supina";"Vascular plants";"Belgium";2017
"Primula denticulata";"Vascular plants";"Belgium";2016
"Primula florindae";"Vascular plants";"Belgium";2010
"Prunus domestica";"Vascular plants";"Belgium";2017
"Prunus fruticans";"Vascular plants";"Belgium";2019
"Prunus tomentosa";"Vascular plants";"Belgium";2014
"Pseudoturritis turrita";"Vascular plants";"Belgium";2015
"Pteris vittata";"Vascular plants";"Belgium";2015
"Pterostyrax hispidus";"Vascular plants";"Belgium";2012
"Pulicaria arabica";"Vascular plants";"Belgium";2011
"Pulicaria paludosa";"Vascular plants";"Belgium";2011
"Pulmonaria rubra";"Vascular plants";"Belgium";2015
"Puschkinia scilloides";"Vascular plants";"Belgium";2010
"Pycnanthemum verticillatum";"Vascular plants";"Belgium";2010
"Pyracantha fortuneana";"Vascular plants";"Belgium";2015
"Quercus conferta";"Vascular plants";"Belgium";2011
"Quercus ilex";"Vascular plants";"Belgium";2011
"Ranunculus pensylvanicus";"Vascular plants";"Belgium";2012
"Raphanus raphanistrum";"Vascular plants";"Belgium";2015
"Ribes divaricatum";"Vascular plants";"Belgium";2010
"Rodgersia aesculifolia";"Vascular plants";"Belgium";2011
"Rodgersia podophylla";"Vascular plants";"Belgium";2016
"Rorippa anceps";"Vascular plants";"Belgium";2016
"Rosa chinensis";"Vascular plants";"Belgium";2010
"Rosa nitida";"Vascular plants";"Belgium";2015
"Rubus cockburnianus";"Vascular plants";"Belgium";2011
"Rubus parviflorus";"Vascular plants";"Belgium";2011
"Rumex confusus";"Vascular plants";"Belgium";2011
"Rumex crispus";"Vascular plants";"Belgium";2012
"Rumex cristatus";"Vascular plants";"Belgium";2011
"Rumex fueginus";"Vascular plants";"Belgium";2011
"Rumex hybridus";"Vascular plants";"Belgium";2013
"Rumex kerneri";"Vascular plants";"Belgium";2011
"Rumex pseudonatronatus";"Vascular plants";"Belgium";2010
"Sagina japonica";"Vascular plants";"Belgium";2018
"Salix daphnoides";"Vascular plants";"Belgium";2018
"Salix eriocephala";"Vascular plants";"Belgium";2018
"Salix myrsinifolia";"Vascular plants";"Belgium";2014
"Salix udensis";"Vascular plants";"Belgium";2018
"Salvia abrotanoides";"Vascular plants";"Belgium";2010
"Salvia hispanica";"Vascular plants";"Belgium";2014
"Salvia rosmarinus";"Vascular plants";"Belgium";2010
"Sarracenia rubra";"Vascular plants";"Belgium";2010
"Sauromatum venosum";"Vascular plants";"Belgium";2010
"Scabiosa lucida";"Vascular plants";"Belgium";2015
"Scabiosa ochroleuca";"Vascular plants";"Belgium";2015
"Scaevola aemula";"Vascular plants";"Belgium";2014
"Scandix stellata";"Vascular plants";"Belgium";2013
"Schoenoplectiella bucharica";"Vascular plants";"Belgium";2014
"Scilla sardensis";"Vascular plants";"Belgium";2011
"Scirpus atrovirens";"Vascular plants";"Belgium";2018
"Scirpus cyperinus";"Vascular plants";"Belgium";2018
"Scrophularia canina";"Vascular plants";"Belgium";2019
"Scrophularia peregrina";"Vascular plants";"Belgium";2020
"Secale strictum";"Vascular plants";"Belgium";2011
"Sedum aizoon";"Vascular plants";"Belgium";2012
"Sedum palmeri";"Vascular plants";"Belgium";2018
"Sedum spathulifolium";"Vascular plants";"Belgium";2010
"Semiarundinaria fastuosa";"Vascular plants";"Belgium";2015
"Serapias lingua";"Vascular plants";"Belgium";2014
"Sesamum indicum";"Vascular plants";"Belgium";2011
"Sibbaldia tridentata";"Vascular plants";"Belgium";2013
"Sinacalia tangutica";"Vascular plants";"Belgium";2016
"Sisyrinchium angustifolium";"Vascular plants";"Belgium";2015
"Sisyrinchium californicum";"Vascular plants";"Belgium";2015
"Sisyrinchium striatum";"Vascular plants";"Belgium";2016
"Skimmia japonica";"Vascular plants";"Belgium";2012
"Smyrnium olusatrum";"Vascular plants";"Belgium";2016
"Solanum pimpinellifolium";"Vascular plants";"Belgium";2015
"Solanum pseudocapsicum";"Vascular plants";"Belgium";2015
"Solidago altissima";"Vascular plants";"Belgium";2016
"Sorbaria kirilowii";"Vascular plants";"Belgium";2013
"Spergularia bocconei";"Vascular plants";"Belgium";2013
"Spiraea nipponica";"Vascular plants";"Belgium";2010
"Spirobassia hirsuta";"Vascular plants";"Belgium";2016
"Stellaria cupaniana";"Vascular plants";"Belgium";2013
"Styphnolobium japonicum";"Vascular plants";"Belgium";2019
"Symphoricarpos doorenbosii";"Vascular plants";"Belgium";2012
"Symphoricarpos orbiculatus";"Vascular plants";"Belgium";2012
"Symphytum orientale";"Vascular plants";"Belgium";2020
"Teloxys aristata";"Vascular plants";"Belgium";2016
"Teucrium hircanicum";"Vascular plants";"Belgium";2012
"Teucrium lucidrys";"Vascular plants";"Belgium";2011
"Thalia dealbata";"Vascular plants";"Belgium";2016
"Thalictrum delavayi";"Vascular plants";"Belgium";2020
"Thalictrum speciosissimum";"Vascular plants";"Belgium";2011
"Thladiantha dubia";"Vascular plants";"Belgium";2010
"Thunbergia alata";"Vascular plants";"Belgium";2013
"Tiarella cordifolia";"Vascular plants";"Belgium";2012
"Tilia tomentosa";"Vascular plants";"Belgium";2016
"Tithonia rotundifolia";"Vascular plants";"Belgium";2015
"Tolmiea menziesii";"Vascular plants";"Belgium";2015
"Trachycarpus fortunei";"Vascular plants";"Belgium";2015
"Tragopogon mirabilis";"Vascular plants";"Belgium";2011
"Trifolium michelianum";"Vascular plants";"Belgium";2016
"Trifolium nigrescens";"Vascular plants";"Belgium";2016
"Trifolium suffocatum";"Vascular plants";"Belgium";2015
"Trifolium sylvaticum";"Vascular plants";"Belgium";2016
"Triodanis perfoliata";"Vascular plants";"Belgium";2018
"Tripleurospermum decipiens";"Vascular plants";"Belgium";2011
"Triteleia laxa";"Vascular plants";"Belgium";2014
"Tulipa urumiensis";"Vascular plants";"Belgium";2013
"Typha laxmannii";"Vascular plants";"Belgium";2010
"Typha provincialis";"Vascular plants";"Belgium";2012
"Urtica membranacea";"Vascular plants";"Belgium";2011
"Vallisneria americana";"Vascular plants";"Belgium";2016
"Verbascum angulosum";"Vascular plants";"Belgium";2014
"Verbascum brockmuelleri";"Vascular plants";"Belgium";2010
"Verbascum nigrum x speciosum";"Vascular plants";"Belgium";2014
"Verbena bracteata";"Vascular plants";"Belgium";2016
"Verbena hybrida";"Vascular plants";"Belgium";2010
"Verbena incompta";"Vascular plants";"Belgium";2018
"Vernonia fasciculata";"Vascular plants";"Belgium";2013
"Veronica austriaca";"Vascular plants";"Belgium";2015
"Veronica cymbalaria";"Vascular plants";"Belgium";2015
"Veronica repens";"Vascular plants";"Belgium";2020
"Veronica teucrium";"Vascular plants";"Belgium";2013
"Veronicastrum virginicum";"Vascular plants";"Belgium";2013
"Viburnum davidi";"Vascular plants";"Belgium";2014
"Viburnum plicatum";"Vascular plants";"Belgium";2013
"Viburnum rhytidophylloides";"Vascular plants";"Belgium";2013
"Viburnum tinus";"Vascular plants";"Belgium";2013
"Vicia cuspidata";"Vascular plants";"Belgium";2016
"Viola hederacea";"Vascular plants";"Belgium";2020
"Viola sororia";"Vascular plants";"Belgium";2018
"Wolffia columbiana";"Vascular plants";"Belgium";2017
"Xanthocyparis nootkatensis";"Vascular plants";"Belgium";2015
"Zantedeschia aethiopica";"Vascular plants";"Belgium";2013
"Zantedeschia albomaculata";"Vascular plants";"Belgium";2011
"Zelkova serrata";"Vascular plants";"Belgium";2015
"Zinnia elegans";"Vascular plants";"Belgium";2011
"Zizania latifolia";"Vascular plants";"Belgium";2010
"Ziziphus lotus";"Vascular plants";"Belgium";2019
"Zuloagaea bulbosa";"Vascular plants";"Belgium";2015
"Aedes japonicus";"Insects";"Bosnia and Herzegovina";2017
"Cacopsylla pulchella";"Insects";"Bosnia and Herzegovina";2020
"Corythucha arcuata";"Insects";"Bosnia and Herzegovina";2017
"Dryocosmus kuriphilus";"Insects";"Bosnia and Herzegovina";2015
"Euphorbia prostrata";"Vascular plants";"Bosnia and Herzegovina";2014
"Glyceria striata";"Vascular plants";"Bosnia and Herzegovina";2015
"Impatiens parviflora";"Vascular plants";"Bosnia and Herzegovina";2018
"Opuntia vulgaris";"Vascular plants";"Bosnia and Herzegovina";2014
"Panicum capillare";"Vascular plants";"Bosnia and Herzegovina";2016
"Panicum dichotomiflorum";"Vascular plants";"Bosnia and Herzegovina";2015
"Paspalum dilatatum";"Vascular plants";"Bosnia and Herzegovina";2014
"Potentilla indica";"Vascular plants";"Bosnia and Herzegovina";2014
"Sporobolus vaginiflorus";"Vascular plants";"Bosnia and Herzegovina";2016
"Symphyotrichum squamatum";"Vascular plants";"Bosnia and Herzegovina";2014
"Cryptostroma corticale";"Fungi";"Bulgaria";2014
"Aproceros leucopoda";"Insects";"Bulgaria";2015
"Bruchidius terrenus";"Insects";"Bulgaria";2010
"Corythucha arcuata";"Insects";"Bulgaria";2012
"Cydalima perspectalis";"Insects";"Bulgaria";2013
"Halyomorpha halys";"Insects";"Bulgaria";2016
"Bolinopsis vitrea";"Invertebrates (excl. Arthropods, Molluscs)";"Bulgaria";2010
"Equisetum palustre";"Vascular plants";"Bulgaria";2017
"Glycaspis brimblecombei";"Insects";"Spain";2010
"Neotoxoptera formosana";"Insects";"Spain";2010
"Atlantoxerus getulus";"Mammals";"Spain";2021
"Mustela putorius";"Mammals";"Spain";2010
"Ovis aries";"Mammals";"Spain";2020
"Sus scrofa";"Mammals";"Spain";2019
"Pluchea carolinensis";"Vascular plants";"Spain";2011
"Ceroplastes floridensis";"Insects";"Greece";2010
"Pseudococcus longispinus";"Insects";"Greece";2010
"Acontia candefacta";"Insects";"Croatia";2019
"Aedes japonicus";"Insects";"Croatia";2013
"Aleurocanthus spiniferus";"Insects";"Croatia";2012
"Aproceros leucopoda";"Insects";"Croatia";2011
"Chymomyza amoena";"Insects";"Croatia";2016
"Corythucha arcuata";"Insects";"Croatia";2013
"Cydalima perspectalis";"Insects";"Croatia";2012
"Drosophila suzukii";"Insects";"Croatia";2010
"Dryocosmus kuriphilus";"Insects";"Croatia";2010
"Halyomorpha halys";"Insects";"Croatia";2017
"Megabruchidius tonkineus";"Insects";"Croatia";2016
"Amaranthus tuberculatus";"Vascular plants";"Croatia";2019
"Elodea densa";"Vascular plants";"Croatia";2013
"Ludwigia peploides";"Vascular plants";"Croatia";2018
"Muhlenbergia schreberi";"Vascular plants";"Croatia";2011
"Nassella neesiana";"Vascular plants";"Croatia";2018
"Phytolacca acinosa";"Vascular plants";"Croatia";2014
"Hypnea spinella";"Algae";"Cyprus";2014
"Amathia verticillata";"Bryozoa";"Cyprus";2016
"Celleporaria vermiformis";"Bryozoa";"Cyprus";2016
"Parasmittina egyptiaca";"Bryozoa";"Cyprus";2016
"Watersipora subtorquata";"Bryozoa";"Cyprus";2020
"Ampithoe bizseli";"Crustaceans";"Cyprus";2016
"Atergatis roseus";"Crustaceans";"Cyprus";2015
"Balanus trigonus";"Crustaceans";"Cyprus";2016
"Carupa tenuipes";"Crustaceans";"Cyprus";2016
"Gonioinfradens paucidentatus";"Crustaceans";"Cyprus";2016
"Macrophthalmus indicus";"Crustaceans";"Cyprus";2011
"Mesanthura romulea";"Crustaceans";"Cyprus";2017
"Paracerceis sculpta";"Crustaceans";"Cyprus";2016
"Penaeus semisulcatus";"Crustaceans";"Cyprus";2010
"Aeolus melliculus";"Insects";"Cyprus";2011
"Aleurolobus marlatti";"Insects";"Cyprus";2017
"Apocrypta longitarsus";"Insects";"Cyprus";2018
"Aulacaspis yasumatsui";"Insects";"Cyprus";2013
"Chrysolina americana";"Insects";"Cyprus";2015
"Dactylopius coccus";"Insects";"Cyprus";2016
"Dermestes maculatus";"Insects";"Cyprus";2014
"Diaspis echinocacti";"Insects";"Cyprus";2017
"Drosophila suzukii";"Insects";"Cyprus";2017
"Glycaspis brimblecombei";"Insects";"Cyprus";2015
"Icerya seychellarum";"Insects";"Cyprus";2019
"Josephiella microcarpae";"Insects";"Cyprus";2018
"Leptoglossus occidentalis";"Insects";"Cyprus";2019
"Maconellicoccus hirsutus";"Insects";"Cyprus";2011
"Macrohomotoma gladiata";"Insects";"Cyprus";2019
"Monomorium bicolor";"Insects";"Cyprus";2012
"Nemausus sordidatus";"Insects";"Cyprus";2017
"Opogona sacchari";"Insects";"Cyprus";2011
"Paraleyrodes minei";"Insects";"Cyprus";2014
"Parasaissetia nigra";"Insects";"Cyprus";2013
"Paratrechina longicornis";"Insects";"Cyprus";2012
"Pheidole indica";"Insects";"Cyprus";2012
"Phenacoccus madeirensis";"Insects";"Cyprus";2013
"Phenacoccus solenopsis";"Insects";"Cyprus";2011
"Pinnaspis aspidistrae";"Insects";"Cyprus";2017
"Pleistodontes imperialis";"Insects";"Cyprus";2019
"Psyllaephagus bliteus";"Insects";"Cyprus";2015
"Scyphophorus acupunctatus";"Insects";"Cyprus";2013
"Shelfordella lateralis";"Insects";"Cyprus";2016
"Singhiella simplex";"Insects";"Cyprus";2014
"Sternochetus mangiferae";"Insects";"Cyprus";2011
"Supella longipalpa";"Insects";"Cyprus";2016
"Sycophaga sycomori";"Insects";"Cyprus";2019
"Trichopoda pennipes";"Insects";"Cyprus";2016
"Trilocha varians";"Insects";"Cyprus";2019
"Trioza brevigenae";"Insects";"Cyprus";2019
"Zaprionus indianus";"Insects";"Cyprus";2017
"Zaprionus tuberculatus";"Insects";"Cyprus";2017
"Diadema setosum";"Invertebrates (excl. Arthropods, Molluscs)";"Cyprus";2013
"Hydroides homoceros";"Invertebrates (excl. Arthropods, Molluscs)";"Cyprus";2016
"Mnemiopsis leidyi";"Invertebrates (excl. Arthropods, Molluscs)";"Cyprus";2015
"Paraleucilla magna";"Invertebrates (excl. Arthropods, Molluscs)";"Cyprus";2016
"Amathina tricarinata";"Molluscs";"Cyprus";2019
"Baeolidia moebii";"Molluscs";"Cyprus";2019
"Berthellina citrina";"Molluscs";"Cyprus";2019
"Bursatella leachii";"Molluscs";"Cyprus";2016
"Goniobranchus obsoletus";"Molluscs";"Cyprus";2018
"Lamprohaminoea ovalis";"Molluscs";"Cyprus";2016
"Plocamopherus ocellatus";"Molluscs";"Cyprus";2015
"Alcea rosea";"Vascular plants";"Cyprus";2013
"Cenchrus setaceus";"Vascular plants";"Cyprus";2018
"Chasmanthe aethiopica";"Vascular plants";"Cyprus";2018
"Cirsium arvense";"Vascular plants";"Cyprus";2012
"Diplotaxis tenuifolia";"Vascular plants";"Cyprus";2013
"Euphorbia hypericifolia";"Vascular plants";"Cyprus";2010
"Euphorbia maculata";"Vascular plants";"Cyprus";2010
"Euphorbia prostrata";"Vascular plants";"Cyprus";2010
"Euphorbia serpens";"Vascular plants";"Cyprus";2010
"Freesia leichtlinii";"Vascular plants";"Cyprus";2017
"Gazania rigens";"Vascular plants";"Cyprus";2016
"Lampranthus roseus";"Vascular plants";"Cyprus";2019
"Lathyrus latifolius";"Vascular plants";"Cyprus";2010
"Medicago arborea";"Vascular plants";"Cyprus";2012
"Myoporum laetum";"Vascular plants";"Cyprus";2018
"Oenothera affinis";"Vascular plants";"Cyprus";2012
"Oxybasis rubra";"Vascular plants";"Cyprus";2016
"Phoenix theophrasti";"Vascular plants";"Cyprus";2018
"Polygala myrtifolia";"Vascular plants";"Cyprus";2018
"Silene noctiflora";"Vascular plants";"Cyprus";2010
"Sisymbrium altissimum";"Vascular plants";"Cyprus";2014
"Spartium junceum";"Vascular plants";"Cyprus";2018
"Tradescantia fluminensis";"Vascular plants";"Cyprus";2018
"Tropaeolum majus";"Vascular plants";"Cyprus";2018
"Yucca aloifolia";"Vascular plants";"Cyprus";2018
"Callopistromyia annulipes";"Insects";"Czech Republic";2016
"Hermetia illucens";"Insects";"Czech Republic";2010
"Calonectria pseudonaviculata";"Fungi";"Czech Republic";2010
"Eutypella parasitica";"Fungi";"Czech Republic";2015
"Ophidiomyces ophidiicola";"Fungi";"Czech Republic";2016
"Aproceros leucopoda";"Insects";"Czech Republic";2013
"Belonochilus numenius";"Insects";"Czech Republic";2011
"Cydalima perspectalis";"Insects";"Czech Republic";2011
"Drosophila suzukii";"Insects";"Czech Republic";2014
"Dryocosmus kuriphilus";"Insects";"Czech Republic";2012
"Euura lipovskyi";"Insects";"Czech Republic";2010
"Phthorimaea absoluta";"Insects";"Czech Republic";2013
"Rhagoletis cingulata";"Insects";"Czech Republic";2014
"Hygromia cinctella";"Molluscs";"Czech Republic";2010
"Berberis julianae";"Vascular plants";"Czech Republic";2010
"Berberis thunbergii";"Vascular plants";"Czech Republic";2011
"Buddleja alternifolia";"Vascular plants";"Czech Republic";2011
"Carex grayi";"Vascular plants";"Czech Republic";2010
"Cotoneaster dielsianus";"Vascular plants";"Czech Republic";2011
"Cotoneaster divaricatus";"Vascular plants";"Czech Republic";2010
"Cystopteris bulbifera";"Vascular plants";"Czech Republic";2017
"Paeonia lactiflora";"Vascular plants";"Czech Republic";2011
"Pimpinella peregrina";"Vascular plants";"Czech Republic";2011
"Pulmonaria rubra";"Vascular plants";"Czech Republic";2011
"Sarracenia purpurea";"Vascular plants";"Czech Republic";2010
"Sasa palmata";"Vascular plants";"Czech Republic";2012
"Thuja occidentalis";"Vascular plants";"Czech Republic";2012
"Vaccinium corymbosum";"Vascular plants";"Czech Republic";2011
"Bonamia ostreae";"Bacteria and protozoans";"Denmark";2014
"Hemigrapsus penicillatus";"Crustaceans";"Denmark";2010
"Hemigrapsus sanguineus";"Crustaceans";"Denmark";2011
"Hemigrapsus takanoi";"Crustaceans";"Denmark";2011
"Calonectria pseudonaviculata";"Fungi";"Denmark";2010
"Neonectria neomacrospora";"Fungi";"Denmark";2011
"Anoplophora chinensis";"Insects";"Denmark";2011
"Cydalima perspectalis";"Insects";"Denmark";2013
"Beroe ovata";"Invertebrates (excl. Arthropods, Molluscs)";"Denmark";2011
"Diadumene lineata";"Invertebrates (excl. Arthropods, Molluscs)";"Denmark";2017
"Polydora aggregata";"Invertebrates (excl. Arthropods, Molluscs)";"Denmark";2017
"Polydora cornuta";"Invertebrates (excl. Arthropods, Molluscs)";"Denmark";2017
"Tharyx killariensis";"Invertebrates (excl. Arthropods, Molluscs)";"Denmark";2012
"Polystichum braunii";"Vascular plants";"Denmark";2017
"Pacifastacus leniusculus";"Crustaceans";"Estonia";2014
"Palaemon elegans";"Crustaceans";"Estonia";2011
"Rhithropanopeus harrisii";"Crustaceans";"Estonia";2011
"Sinelobus vanhaareni";"Crustaceans";"Estonia";2010
"Rangia cuneata";"Molluscs";"Estonia";2015
"Equisetum variegatum";"Vascular plants";"Denmark";2017
"Neonectria neomacrospora";"Fungi";"Finland";2018
