"","species","Region","LifeForm","off_FirstRec","count","firstRec","phylum","class","timeLag","eu_status","google","scopus","EASIN_Id.x","Status.x","TER.x","FRW.x","MAR.x","EST.x","habitat","worst_100_world_ISSG","worst_100_Europe_DAISIE","mentioned_in_EU_quarantine_species","partly_native","obsEffort_LF","ResearchEffort","nOccTotSp","obsInNeigborCountryBefore","google_country_porc","google_country_tot","EASIN_Id.y","Status.y","TER.y","FRW.y","MAR.y","EST.y","Kingdom","Phylum","Class","Order","Family"
"89","Betonica macrantha","Belgium","Vascular plants",2012,2,2019,"Tracheophyta","Magnoliopsida",7,"NO",459,18,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,658,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Betula papyrifera","Belgium","Vascular plants",2012,3,2018,"Tracheophyta","Magnoliopsida",6,"NO",6094,4073,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,82,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Bistorta affinis","Belgium","Vascular plants",2012,1,2012,"Tracheophyta","Magnoliopsida",0,"NO",1584,13,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,80,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Blackfordia virginica","Netherlands","Invertebrates (excl. Arthropods, Molluscs)",2014,1,2014,"Cnidaria","Hydrozoa",0,"NO",421,163,"R02053","C",0,0,1,0,"Marine","NO","NO","NO","NO",5159,30,NA,FALSE,0,0,"R02053","C","0","0","1","0","Animalia","Cnidaria","Hydrozoa","Leptothecatae","Blackfordiidae"
"93","Blaste lignicola","New Zealand","Insects",2011,1,2016,"Arthropoda","Insecta",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Blitum virgatum","Belgium","Vascular plants",2019,22,2000,"Tracheophyta","Magnoliopsida",-19,"NO",0,13,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,1299,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Bolboschoenus glaucus","Belgium","Vascular plants",2015,2,2015,"Tracheophyta","Liliopsida",0,"NO",100,53,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,35,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Bolboschoenus yagara","Belgium","Vascular plants",2017,58,2015,"Tracheophyta","Liliopsida",-2,"NO",0,55,NA,NA,1,1,0,0,"Terrestrial_Freshwater","NO","NO","NO","YES",1132699,480,65,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Bombus pascuorum","Iceland","Insects",2010,2,2017,"Arthropoda","Insecta",7,"NO",2919,706,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",132,27,57802,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Bougainvillea glabra","Italy","Vascular plants",2018,3,2015,"Tracheophyta","Magnoliopsida",-3,"NO",5167,760,"R02172","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",967299,162,NA,TRUE,27,1395.09,"R02172","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae"
"99","Brachidontes exustus","United Kingdom","Molluscs",2016,1,2016,"Mollusca","Bivalvia",0,"NO",0,210,"R02193","A",0,0,1,0,"Marine","NO","NO","NO","NO",59137,102,1,FALSE,0,0,"R02193","A","0","0","1","0","Animalia","Mollusca","Bivalvia","Mytiloida","Mytilidae"
"100","Brachychiton populneus","Greece","Vascular plants",2012,21,2012,"Tracheophyta","Magnoliopsida",0,"NO",3986,91,"R02206","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",46853,144,884,FALSE,0,0,"R02206","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Malvales","Sterculiaceae"
"101","Brassica barrelieri","Belgium","Vascular plants",2013,2,2013,"Tracheophyta","Magnoliopsida",0,"NO",614,27,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,129,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Brassica carinata","Belgium","Vascular plants",2017,13,2017,"Tracheophyta","Magnoliopsida",0,"NO",2414,5192,"R02261","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,14,FALSE,0,0,"R02261","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Capparales","Brassicaceae"
"103","Bromus carinatus","Belgium","Vascular plants",2013,12,2007,"Tracheophyta","Liliopsida",-6,"NO",1602,236,"R02308","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,641,TRUE,0,0,"R02308","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Cyperales","Poaceae"
"104","Bromus japonicus","Belgium","Vascular plants",2013,62,2007,"Tracheophyta","Liliopsida",-6,"NO",806,290,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,126,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Broussonetia papyrifera","Belgium","Vascular plants",2011,16,2018,"Tracheophyta","Magnoliopsida",7,"consideration",4744,2160,"R02356","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,NA,TRUE,0,0,"R02356","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Urticales","Moraceae"
"106","Brugmansia arborea","Spain","Vascular plants",2020,3,2021,"Tracheophyta","Magnoliopsida",1,"NO",5304,117,"R18467","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",713438,120,10,TRUE,100,5304,"R18467","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae"
"107","Bucorvus leadbeateri","Belgium","Birds",2018,6,2010,"Chordata","Aves",-8,"NO",1821,104,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",788948,480,8,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Buddleja alternifolia","Czech Republic","Vascular plants",2011,30,2019,"Tracheophyta","Magnoliopsida",8,"NO",5129,42,"R02409","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",391053,28,41,FALSE,0,0,"R02409","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Scrophulariales","Buddlejaceae"
"109","Calendula officinalis","Albania","Vascular plants",2011,8,2019,"Tracheophyta","Magnoliopsida",8,"NO",2093,6763,"R02537","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",2476,54,41996,FALSE,0,0,"R02537","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae"
"110","Callicarpa bodinieri","Belgium","Vascular plants",2014,4,2019,"Tracheophyta","Magnoliopsida",5,"NO",6292,46,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,40,TRUE,100,6292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Callistemon rigidus","Spain","Vascular plants",2013,1,2013,"Tracheophyta","Magnoliopsida",0,"NO",2856,202,"R02562","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",713438,120,2,TRUE,47,1342.32,"R02562","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae"
"112","Callistemon viminalis","Spain","Vascular plants",2018,1,2019,"Tracheophyta","Magnoliopsida",1,"NO",6686,855,"R02563","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",713438,120,20,FALSE,7,468.02,"R02563","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae"
"113","Callopistromyia annulipes","Austria","Insects",2014,41,2014,"Arthropoda","Insecta",0,"NO",891,2,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",122100,44,332,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Callopistromyia annulipes","Belgium","Insects",2014,5,2017,"Arthropoda","Insecta",3,"NO",891,2,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",482504,480,332,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Callopistromyia annulipes","Czech Republic","Insects",2016,19,2019,"Arthropoda","Insecta",3,"NO",891,2,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",47792,28,332,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Callopistromyia annulipes","France","Insects",2011,33,2017,"Arthropoda","Insecta",6,"NO",891,2,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",514135,142,332,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Callopistromyia annulipes","Hungary","Insects",2016,2,2021,"Arthropoda","Insecta",5,"NO",891,2,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",15818,18,332,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Callopistromyia annulipes","Netherlands","Insects",2011,12,2013,"Arthropoda","Insecta",2,"NO",891,2,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",6331084,30,332,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Callopistromyia annulipes","Poland","Insects",2018,9,2019,"Arthropoda","Insecta",1,"NO",891,2,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",30488,17,332,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Callopistromyia annulipes","Slovakia","Insects",2014,4,2017,"Arthropoda","Insecta",3,"NO",891,2,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",7382,19,332,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Camassia leichtlinii","Belgium","Vascular plants",2013,9,2013,"Tracheophyta","Liliopsida",0,"NO",3855,89,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,40,FALSE,85,3276.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Campsis radicans","Portugal","Vascular plants",2010,7,2021,"Tracheophyta","Magnoliopsida",11,"NO",7329,728,"R02680","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",107614,83,NA,FALSE,0,0,"R02680","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Scrophulariales","Bignoniaceae"
"123","Cancer pagurus","Norway","Crustaceans",2014,124,1998,"Arthropoda","Malacostraca",-16,"NO",3442,4804,NA,NA,0,0,1,0,"Marine","NO","NO","NO","YES",2501,76,14885,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Canna generalis","Belgium","Vascular plants",2019,9,2009,"Tracheophyta","Liliopsida",-10,"NO",2724,321,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,169,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Carcelia iliaca","United Kingdom","Insects",2014,2,2016,"Arthropoda","Insecta",2,"NO",0,5,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",6320677,102,8,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Carex grayi","Belgium","Vascular plants",2011,5,2011,"Tracheophyta","Liliopsida",0,"NO",3102,21,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,291,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Carex grayi","Czech Republic","Vascular plants",2010,59,2019,"Tracheophyta","Liliopsida",9,"NO",3102,21,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",391053,28,291,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Carex loliacea","Belgium","Vascular plants",2015,1,2015,"Tracheophyta","Liliopsida",0,"NO",0,16,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,2630,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Carex muricata","Belgium","Vascular plants",2010,14,2016,"Tracheophyta","Liliopsida",6,"NO",1197,71,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,2867,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Carex muskingumensis","Belgium","Vascular plants",2010,15,2014,"Tracheophyta","Liliopsida",4,"NO",3230,11,"R02827","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,108,TRUE,0,0,"R02827","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Cyperales","Cyperaceae"
"131","Carex pendula","Belgium","Vascular plants",2017,314,1996,"Tracheophyta","Liliopsida",-21,"NO",4841,354,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,7436,TRUE,100,4841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Carex scoparia","Belgium","Vascular plants",2013,24,2014,"Tracheophyta","Liliopsida",1,"NO",536,127,"R02834","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,46,TRUE,0,0,"R02834","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Cyperales","Cyperaceae"
"133","Carex vulpinoidea","Slovenia","Vascular plants",2016,1,2016,"Tracheophyta","Liliopsida",0,"NO",1933,20,"R02842","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",38312,45,54,FALSE,0,0,"R02842","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Cyperales","Cyperaceae"
"134","Carica papaya","Spain","Vascular plants",2010,2,2021,"Tracheophyta","Magnoliopsida",11,"NO",10314,20568,"R02843","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",713438,120,3,FALSE,0,0,"R02843","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Violales","Caricaceae"
"135","Carpobrotus chilensis","Spain","Vascular plants",2017,2,2018,"Tracheophyta","Magnoliopsida",1,"NO",1598,36,"R02861","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",713438,120,10,FALSE,100,1598,"R02861","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae"
"136","Caryopteris incana","Belgium","Vascular plants",2017,1,2017,"Tracheophyta","Magnoliopsida",0,"NO",1592,244,NA,NA,NA,NA,NA,NA,NA,"NO","NO","NO",NA,1132699,480,1,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Cascabela thevetia","Greece","Vascular plants",2014,5,2010,"Tracheophyta","Magnoliopsida",-4,"NO",3088,126,"R18985","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",46853,144,NA,FALSE,0,0,"R18985","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae"
"138","Casuarinicola australis","New Zealand","Insects",2013,1,2013,"Arthropoda","Insecta",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Caulacanthus okamurae","Netherlands","Algae",2018,1,2018,"Rhodophyta","Florideophyceae",0,"NO",0,14,NA,NA,0,0,1,0,"Marine","NO","NO","NO","NO",17779,30,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Centaurea benedicta","Belgium","Vascular plants",2014,1,2018,"Tracheophyta","Magnoliopsida",4,"NO",0,11,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,164,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Ceratitis capitata","Austria","Insects",2011,4,2019,"Arthropoda","Insecta",8,"NO",6047,11309,"R03152","A",1,0,0,0,"Terrestrial","NO","YES","NO","NO",122100,44,426,FALSE,0,0,"R03152","A","1","0","0","0","Animalia","Arthropoda","Insecta","Diptera","Tephritidae"
"142","Cercidiphyllum japonicum","Belgium","Vascular plants",2014,8,2014,"Tracheophyta","Magnoliopsida",0,"NO",4932,551,"R03177","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,178,TRUE,67,3304.44,"R03177","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Hamamelidales","Cercidiphyllaceae"
"143","Ceroplastes japonicus","Greece","Insects",2012,3,2019,"Arthropoda","Insecta",7,"NO",0,168,"R03216","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",41715,144,12,FALSE,0,0,"R03216","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Coccidae"
"144","Chaetodipterus faber","Greece","Fishes",2019,1,2019,"Chordata","Actinopterygii",0,"NO",0,186,"R19959","A",1,1,1,0,"Terrestrial_ Freshwater_ Marine","NO","NO","NO","NO",808,144,1,FALSE,0,0,"R19959","A","1","1","1","0","Animalia","Chordata","Actinopterygii","Perciformes","Ephippidae"
"145","Chama congregata","United Kingdom","Molluscs",2012,2,2015,"Mollusca","Bivalvia",3,"NO",0,12,NA,NA,0,0,1,0,"Marine","NO","NO","NO","NO",59137,102,3,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Cheiloneurus flaccus","New Zealand","Insects",2013,2,2013,"Arthropoda","Insecta",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Chelone obliqua","Belgium","Vascular plants",2011,6,2012,"Tracheophyta","Magnoliopsida",1,"NO",2292,20,"R03364","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,143,TRUE,0,0,"R03364","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Scrophulariales","Scrophulariaceae"
"148","Chlorophorus varius","United Kingdom","Insects",2018,2,2021,"Arthropoda","Insecta",3,"NO",533,7,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",6320677,102,1403,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Chlorophytum comosum","Belgium","Vascular plants",2011,3,2015,"Tracheophyta","Liliopsida",4,"NO",6720,759,"R03505","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,65,FALSE,100,6720,"R03505","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Asparagaceae"
"150","Chrysanthemum indicum","France","Vascular plants",2014,21,2020,"Tracheophyta","Magnoliopsida",6,"NO",5039,3069,"R18582","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",3156527,142,35,FALSE,21,1058.19,"R18582","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae"
"151","Chymomyza amoena","Slovenia","Insects",2012,2,2019,"Arthropoda","Insecta",7,"NO",0,40,"R03590","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",20810,45,NA,FALSE,0,0,"R03590","A","1","0","0","0","Animalia","Arthropoda","Insecta","Diptera","Drosophilidae"
"152","Cichorium calvum","Belgium","Vascular plants",2012,4,2012,"Tracheophyta","Magnoliopsida",0,"NO",0,5,"R03608","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,4,FALSE,0,0,"R03608","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae"
"153","Clarkia amoena","Belgium","Vascular plants",2012,1,2021,"Tracheophyta","Magnoliopsida",9,"NO",2592,103,"R03729","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,111,FALSE,0,0,"R03729","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae"
"154","Claytonia perfoliata","Slovakia","Vascular plants",2010,1,2018,"Tracheophyta","Magnoliopsida",8,"NO",3731,107,"R03749","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",84761,19,21215,FALSE,0,0,"R03749","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae"
"155","Claytonia rubra","Belgium","Vascular plants",2012,3,2012,"Tracheophyta","Magnoliopsida",0,"NO",253,33,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,3,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Claytonia sibirica","France","Vascular plants",2011,40,2017,"Tracheophyta","Magnoliopsida",6,"NO",1900,15,"R03750","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",3156527,142,6256,TRUE,74,1406,"R03750","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae"
"157","Clematis montana","Belgium","Vascular plants",2014,14,2014,"Tracheophyta","Magnoliopsida",0,"NO",5054,300,"R03759","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,348,TRUE,32,1617.28,"R03759","A","1","0","0","0","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae"
"158","Clematostigma maculiceps","New Zealand","Insects",2011,5,2012,"Arthropoda","Insecta",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,5,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Clerodendrum bungei","Belgium","Vascular plants",2016,7,2016,"Tracheophyta","Magnoliopsida",0,"NO",3202,168,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","NO",1132699,480,109,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Colinus virginianus","Belgium","Birds",2011,2,2011,"Chordata","Aves",0,"NO",1706,2750,"R03872","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",788948,480,46,FALSE,0,0,"R03872","A","1","0","0","0","Animalia","Chordata","Aves","Galliformes","Odontophoridae"
"161","Commelina communis","Albania","Vascular plants",2010,2,2017,"Tracheophyta","Liliopsida",7,"NO",2815,3425,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",2476,54,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Conringia planisiliqua","Belgium","Vascular plants",2013,1,2013,"Tracheophyta","Magnoliopsida",0,"NO",0,13,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,1,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Contarinia pseudotsugae","Belgium","Insects",2015,20,2015,"Arthropoda","Insecta",0,"NO",0,12,"R19567","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",482504,480,24,FALSE,0,0,"R19567","A","1","0","0","0","Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae"
"164","Cornus sanguinea","Belgium","Vascular plants",2010,3547,1991,"Tracheophyta","Magnoliopsida",-19,"NO",8804,276,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,76920,TRUE,100,8804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Corvus albus","Portugal","Birds",2015,19,2015,"Chordata","Aves",0,"NO",2163,207,"R04117","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",4044501,83,105,TRUE,0,0,"R04117","A","1","0","0","0","Animalia","Chordata","Aves","Passeriformes","Corvidae"
"166","Corylus colurna","Belgium","Vascular plants",2012,61,2012,"Tracheophyta","Magnoliopsida",0,"NO",6427,408,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1132699,480,1037,TRUE,100,6427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Corylus maxima","Norway","Vascular plants",2016,2,2021,"Tracheophyta","Magnoliopsida",5,"NO",3543,1572,NA,NA,1,0,0,0,"Terrestrial","NO","NO","NO","YES",1755502,76,496,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Corythauma ayyari","Italy","Insects",2012,3,2021,"Arthropoda","Insecta",9,"NO",0,17,"R17944","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",205611,162,NA,FALSE,0,0,"R17944","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae"
"169","Corythucha arcuata","Bulgaria","Insects",2012,8,2019,"Arthropoda","Insecta",7,"NO",1078,97,"R04152","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",15172,8,NA,FALSE,0,0,"R04152","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae"
"170","Corythucha arcuata","Slovenia","Insects",2016,12,2018,"Arthropoda","Insecta",2,"NO",1078,97,"R04152","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",20810,45,NA,TRUE,0,0,"R04152","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae"
"171","Corythucha arcuata","Slovakia","Insects",2018,1,2021,"Arthropoda","Insecta",3,"NO",1078,97,"R04152","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",7382,19,NA,TRUE,0,0,"R04152","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae"
"172","Corythucha arcuata","Hungary","Insects",2013,16,2019,"Arthropoda","Insecta",6,"NO",1078,97,"R04152","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",15818,18,NA,FALSE,0,0,"R04152","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae"
"173","Corythucha arcuata","Bosnia and Herzegovina","Insects",2017,2,2021,"Arthropoda","Insecta",4,"NO",1078,97,"R04152","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",1392,14,NA,TRUE,0,0,"R04152","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae"
"174","Corythucha arcuata","Serbia","Insects",2013,25,2017,"Arthropoda","Insecta",4,"NO",1078,97,"R04152","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",11129,54,NA,TRUE,0,0,"R04152","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae"
"175","Corythucha arcuata","France","Insects",2017,27,2018,"Arthropoda","Insecta",1,"NO",1078,97,"R04152","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",514135,142,NA,FALSE,0,0,"R04152","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae"
"176","Corythucha arcuata","Ukraine","Insects",2017,6,2020,"Arthropoda","Insecta",3,"NO",1078,97,"R04152","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",21266,7,NA,TRUE,0,0,"R04152","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae"
"177","Corythucha arcuata","Croatia","Insects",2013,36,2018,"Arthropoda","Insecta",5,"NO",1078,97,"R04152","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",13442,19,NA,FALSE,100,1078,"R04152","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae"
"178","Corythucha arcuata","Greece","Insects",2018,2,2021,"Arthropoda","Insecta",3,"NO",1078,97,"R04152","A",1,0,0,0,"Terrestrial","NO","NO","NO","NO",41715,144,NA,TRUE,0,0,"R04152","A","1","0","0","0","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae"
